lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,1.0036330223083496,0.8996686935424805
0.1,5e-07,DO,0.7899794578552246,0.9541473388671875
0.1,1e-06,PD,1.536353588104248,1.3430161476135254
0.1,1e-06,DO,1.2935147285461426,1.5701003074645996
0.1,5e-06,PD,-3.1305551528930664,-3.9053969383239746
0.1,5e-06,DO,-3.871992588043213,-2.8446760177612305
0.1,1e-05,PD,-5.635960578918457,-6.154386043548584
0.1,1e-05,DO,-9.43199348449707,-9.793033599853516
0.1,5e-05,PD,-63.52534484863281,-61.153709411621094
0.1,5e-05,DO,-44.3121452331543,-42.437068939208984
0.1,0.0001,PD,-35.73959732055664,-34.1286735534668
0.1,0.0001,DO,-52.105045318603516,-31.494930267333984
0.5,5e-07,PD,1.003580093383789,0.8996109962463379
0.5,5e-07,DO,0.7899293899536133,0.9540886878967285
0.5,1e-06,PD,1.5362672805786133,1.342918872833252
0.5,1e-06,DO,1.293294906616211,1.5698633193969727
0.5,5e-06,PD,-3.0585427284240723,-3.826997756958008
0.5,5e-06,DO,-3.825157642364502,-2.797037124633789
0.5,1e-05,PD,-5.665143966674805,-6.1946120262146
0.5,1e-05,DO,-9.388948440551758,-9.751113891601562
0.5,5e-05,PD,-28.502090454101562,-23.4154052734375
0.5,5e-05,DO,-25.987300872802734,-26.54258155822754
0.5,0.0001,PD,4.886634826660156,3.063241958618164
0.5,0.0001,DO,-7.575325012207031,-3.710303783416748
1.0,5e-07,PD,1.0035200119018555,0.8995361328125
1.0,5e-07,DO,0.7898592948913574,0.954012393951416
1.0,1e-06,PD,1.5362191200256348,1.342862606048584
1.0,1e-06,DO,1.2931199073791504,1.5696601867675781
1.0,5e-06,PD,-3.052532196044922,-3.820195198059082
1.0,5e-06,DO,-3.8054442405700684,-2.7772698402404785
1.0,1e-05,PD,-5.664881706237793,-6.218698978424072
1.0,1e-05,DO,-9.467074394226074,-9.827692031860352
1.0,5e-05,PD,-2.4190406799316406,-0.5134687423706055
1.0,5e-05,DO,-19.061508178710938,-21.483461380004883
1.0,0.0001,PD,7.058913707733154,4.374938011169434
1.0,0.0001,DO,-0.8474636077880859,2.4507575035095215
5.0,5e-07,PD,1.003380298614502,0.8993644714355469
5.0,5e-07,DO,0.7895359992980957,0.9536547660827637
5.0,1e-06,PD,1.5364065170288086,1.3430852890014648
5.0,1e-06,DO,1.2927179336547852,1.5691947937011719
5.0,5e-06,PD,-2.2323923110961914,-2.959017276763916
5.0,5e-06,DO,-3.6678619384765625,-2.6289548873901367
5.0,1e-05,PD,-3.7884669303894043,-4.5173139572143555
5.0,1e-05,DO,-6.9059529304504395,-6.455883979797363
5.0,5e-05,PD,8.824416160583496,7.042424201965332
5.0,5e-05,DO,3.3817334175109863,7.960448265075684
5.0,0.0001,PD,7.613203525543213,5.25660514831543
5.0,0.0001,DO,-4.856263637542725,-1.2121481895446777
10.0,5e-07,PD,1.0033702850341797,0.8993597030639648
10.0,5e-07,DO,0.7893843650817871,0.9534873962402344
10.0,1e-06,PD,1.5361008644104004,1.3430671691894531
10.0,1e-06,DO,1.292604923248291,1.5690736770629883
10.0,5e-06,PD,-1.0332961082458496,-1.6887898445129395
10.0,5e-06,DO,-2.5877037048339844,-1.5368461608886719
10.0,1e-05,PD,-1.549607276916504,-2.2725729942321777
10.0,1e-05,DO,-4.936002254486084,-3.9466805458068848
10.0,5e-05,PD,6.871496677398682,5.552300453186035
10.0,5e-05,DO,4.093129634857178,8.241372108459473
10.0,0.0001,PD,7.0106072425842285,4.820102691650391
10.0,0.0001,DO,-12.83012866973877,-10.77603530883789
20.0,5e-07,PD,1.0027132034301758,0.8988742828369141
20.0,5e-07,DO,0.7892961502075195,0.9533939361572266
20.0,1e-06,PD,1.5183210372924805,1.3325786590576172
20.0,1e-06,DO,1.2901229858398438,1.5657305717468262
20.0,5e-06,PD,0.49273681640625,-0.03439760208129883
20.0,5e-06,DO,-1.0539069175720215,-0.0910329818725586
20.0,1e-05,PD,0.6819047927856445,-0.037790775299072266
20.0,1e-05,DO,-1.5476503372192383,-0.2116713523864746
20.0,5e-05,PD,3.0661702156066895,1.8238444328308105
20.0,5e-05,DO,4.850865840911865,8.390172958374023
20.0,0.0001,PD,6.4760870933532715,4.541672229766846
20.0,0.0001,DO,-7.066134929656982,-3.0631089210510254
50.0,5e-07,PD,0.9523987770080566,0.8555035591125488
50.0,5e-07,DO,0.7828464508056641,0.9459466934204102
50.0,1e-06,PD,1.3547487258911133,1.2038006782531738
50.0,1e-06,DO,1.2089924812316895,1.4642906188964844
50.0,5e-06,PD,1.5743727684020996,1.166491985321045
50.0,5e-06,DO,1.1065735816955566,1.8716607093811035
50.0,1e-05,PD,1.9586668014526367,1.3143353462219238
50.0,1e-05,DO,0.9691343307495117,2.0956945419311523
50.0,5e-05,PD,-1.6332001686096191,-3.122591018676758
50.0,5e-05,DO,2.265148162841797,5.404186248779297
50.0,0.0001,PD,3.741870403289795,2.1688613891601562
50.0,0.0001,DO,-7.438601970672607,-5.49552059173584
