lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,1.0036125183105469,0.8995890617370605
0.1,5e-07,DO,0.7896957397460938,0.9538869857788086
0.1,1e-06,PD,1.5383076667785645,1.344686508178711
0.1,1e-06,DO,1.292625904083252,1.5692925453186035
0.1,5e-06,PD,-1.3866467475891113,-2.1361889839172363
0.1,5e-06,DO,-2.0341625213623047,-0.9970793724060059
0.1,1e-05,PD,-3.167044162750244,-3.5542097091674805
0.1,1e-05,DO,-2.9219894409179688,-3.218268871307373
0.1,5e-05,PD,-14.862629890441895,-10.986867904663086
0.1,5e-05,DO,-21.975740432739258,-22.672624588012695
0.1,0.0001,PD,-8.158656120300293,-8.723808288574219
0.1,0.0001,DO,-17.22153091430664,-10.614255905151367
0.5,5e-07,PD,1.0035815238952637,0.8993687629699707
0.5,5e-07,DO,0.7886877059936523,0.9529695510864258
0.5,1e-06,PD,1.5419764518737793,1.3477396965026855
0.5,1e-06,DO,1.2901477813720703,1.5670628547668457
0.5,5e-06,PD,-1.2596931457519531,-1.9910497665405273
0.5,5e-06,DO,-1.214010238647461,-0.17293167114257812
0.5,1e-05,PD,-2.0222978591918945,-2.799076557159424
0.5,1e-05,DO,-2.609628677368164,-2.3885064125061035
0.5,5e-05,PD,5.2159905433654785,5.322666168212891
0.5,5e-05,DO,3.223372459411621,8.409919738769531
0.5,0.0001,PD,6.3857502937316895,5.198145866394043
0.5,0.0001,DO,-1.9928622245788574,1.25726318359375
1.0,5e-07,PD,1.0033793449401855,0.8990178108215332
1.0,5e-07,DO,0.7877120971679688,0.9520730972290039
1.0,1e-06,PD,1.542341709136963,1.3479094505310059
1.0,1e-06,DO,1.2885046005249023,1.5655426979064941
1.0,5e-06,PD,-0.6726212501525879,-1.3761506080627441
1.0,5e-06,DO,-0.912574291229248,0.13089656829833984
1.0,1e-05,PD,-0.30238914489746094,-1.1040229797363281
1.0,1e-05,DO,-0.5410633087158203,0.1988058090209961
1.0,5e-05,PD,8.582569122314453,7.945337295532227
1.0,5e-05,DO,4.1323089599609375,9.580886840820312
1.0,0.0001,PD,5.5657548904418945,4.426185131072998
1.0,0.0001,DO,-7.212056636810303,-2.940418243408203
5.0,5e-07,PD,0.9982705116271973,0.8943095207214355
5.0,5e-07,DO,0.783545970916748,0.9478435516357422
5.0,1e-06,PD,1.4905834197998047,1.3128981590270996
5.0,1e-06,DO,1.2471551895141602,1.5129823684692383
5.0,5e-06,PD,1.4978680610656738,1.0424542427062988
5.0,5e-06,DO,1.2564702033996582,1.996117115020752
5.0,1e-05,PD,2.096015453338623,1.5129704475402832
5.0,1e-05,DO,1.7647552490234375,2.814809799194336
5.0,5e-05,PD,0.42640018463134766,-0.22317266464233398
5.0,5e-05,DO,4.928524494171143,9.142298698425293
5.0,0.0001,PD,3.620297431945801,2.9526586532592773
5.0,0.0001,DO,-5.326674938201904,-3.502976894378662
10.0,5e-07,PD,0.9452552795410156,0.8480725288391113
10.0,5e-07,DO,0.7539958953857422,0.9137206077575684
10.0,1e-06,PD,1.3400382995605469,1.1919054985046387
10.0,1e-06,DO,1.1115074157714844,1.345961570739746
10.0,5e-06,PD,1.9032015800476074,1.5532045364379883
10.0,5e-06,DO,1.7956023216247559,2.3932619094848633
10.0,1e-05,PD,2.7082667350769043,2.250749111175537
10.0,1e-05,DO,2.2867813110351562,3.2510647773742676
10.0,5e-05,PD,-0.7901406288146973,-1.2079811096191406
10.0,5e-05,DO,4.686335563659668,8.424809455871582
10.0,0.0001,PD,3.1433191299438477,2.6143107414245605
10.0,0.0001,DO,0.2326664924621582,2.835601329803467
20.0,5e-07,PD,0.8069400787353516,0.725989818572998
20.0,5e-07,DO,0.6599092483520508,0.8027610778808594
20.0,1e-06,PD,1.0870847702026367,0.9729070663452148
20.0,1e-06,DO,0.9005875587463379,1.09503173828125
20.0,5e-06,PD,1.946131706237793,1.676253318786621
20.0,5e-06,DO,2.0267252922058105,2.5131845474243164
20.0,1e-05,PD,2.7932443618774414,2.434105396270752
20.0,1e-05,DO,2.7437949180603027,3.58908748626709
20.0,5e-05,PD,-1.5807628631591797,-1.8063535690307617
20.0,5e-05,DO,4.369532108306885,7.730224132537842
20.0,0.0001,PD,2.826213836669922,2.3824148178100586
20.0,0.0001,DO,-0.23540830612182617,2.3900513648986816
50.0,5e-07,PD,0.5596933364868164,0.5030570030212402
50.0,5e-07,DO,0.4808197021484375,0.5906047821044922
50.0,1e-06,PD,0.749722957611084,0.6703839302062988
50.0,1e-06,DO,0.6516118049621582,0.7998418807983398
50.0,5e-06,PD,1.7518391609191895,1.5469021797180176
50.0,5e-06,DO,1.894361972808838,2.269951820373535
50.0,1e-05,PD,2.67976713180542,2.3979501724243164
50.0,1e-05,DO,2.756258964538574,3.4399309158325195
50.0,5e-05,PD,-2.1003975868225098,-2.167466640472412
50.0,5e-05,DO,4.022128582000732,7.176015853881836
50.0,0.0001,PD,2.612222194671631,2.233551502227783
50.0,0.0001,DO,-5.579850196838379,-2.6045479774475098
