lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,1.003678798675537,0.8997149467468262
0.1,5e-07,DO,0.7899212837219238,0.9540677070617676
0.1,1e-06,PD,1.5364680290222168,1.3431568145751953
0.1,1e-06,DO,1.2934131622314453,1.569936752319336
0.1,5e-06,PD,-2.898686408996582,-3.651615619659424
0.1,5e-06,DO,-3.792602062225342,-2.764636516571045
0.1,1e-05,PD,-4.881777286529541,-5.389069557189941
0.1,1e-05,DO,-8.819034576416016,-9.17123031616211
0.1,5e-05,PD,-52.71397399902344,-51.27245330810547
0.1,5e-05,DO,-44.155418395996094,-41.99314880371094
0.1,0.0001,PD,-35.090240478515625,-37.02260971069336
0.1,0.0001,DO,-50.867759704589844,-42.45117950439453
0.5,5e-07,PD,1.0036883354187012,0.8996844291687012
0.5,5e-07,DO,0.7897868156433105,0.9539093971252441
0.5,1e-06,PD,1.5366430282592773,1.3434524536132812
0.5,1e-06,DO,1.2930374145507812,1.5694494247436523
0.5,5e-06,PD,-2.6771059036254883,-3.41104793548584
0.5,5e-06,DO,-3.5565643310546875,-2.524892807006836
0.5,1e-05,PD,-5.054343223571777,-5.57124137878418
0.5,1e-05,DO,-8.824377059936523,-9.179981231689453
0.5,5e-05,PD,4.494317531585693,3.008174419403076
0.5,5e-05,DO,-32.833404541015625,-33.428043365478516
0.5,0.0001,PD,5.902468681335449,3.8735532760620117
0.5,0.0001,DO,-11.25358772277832,-7.715663433074951
1.0,5e-07,PD,1.003697395324707,0.899683952331543
1.0,5e-07,DO,0.7896084785461426,0.9537115097045898
1.0,1e-06,PD,1.5368785858154297,1.3438620567321777
1.0,1e-06,DO,1.292675495147705,1.569014072418213
1.0,5e-06,PD,-2.7563552856445312,-3.494903564453125
1.0,5e-06,DO,-3.528134822845459,-2.496389865875244
1.0,1e-05,PD,-5.12232780456543,-5.638173580169678
1.0,1e-05,DO,-8.932507514953613,-9.276090621948242
1.0,5e-05,PD,7.144962787628174,5.081732749938965
1.0,5e-05,DO,-1.1277008056640625,2.121670722961426
1.0,0.0001,PD,7.4355340003967285,6.769355297088623
1.0,0.0001,DO,-6.846382141113281,-1.64125394821167
5.0,5e-07,PD,1.0038714408874512,0.8998899459838867
5.0,5e-07,DO,0.7888975143432617,0.9528975486755371
5.0,1e-06,PD,1.5376381874084473,1.3451638221740723
5.0,1e-06,DO,1.2920422554016113,1.5682125091552734
5.0,5e-06,PD,-1.593587875366211,-2.2642159461975098
5.0,5e-06,DO,-3.5498781204223633,-2.5111098289489746
5.0,1e-05,PD,0.3162050247192383,-0.1863088607788086
5.0,1e-05,DO,-5.87861967086792,-5.4088873863220215
5.0,5e-05,PD,4.3300580978393555,3.082207679748535
5.0,5e-05,DO,1.2049427032470703,6.492377758026123
5.0,0.0001,PD,6.415017604827881,5.9818549156188965
5.0,0.0001,DO,-5.1039347648620605,-0.4963841438293457
10.0,5e-07,PD,1.0038819313049316,0.8999128341674805
10.0,5e-07,DO,0.7887711524963379,0.9527344703674316
10.0,1e-06,PD,1.537611484527588,1.34539794921875
10.0,1e-06,DO,1.2920012474060059,1.5681848526000977
10.0,5e-06,PD,0.33615875244140625,-0.2520256042480469
10.0,5e-06,DO,-2.1305952072143555,-1.0496149063110352
10.0,1e-05,PD,1.761220932006836,1.146378993988037
10.0,1e-05,DO,-0.011798381805419922,1.2978401184082031
10.0,5e-05,PD,-1.8927478790283203,-2.8645920753479004
10.0,5e-05,DO,-1.4748210906982422,3.197871208190918
10.0,0.0001,PD,5.327787399291992,5.324580669403076
10.0,0.0001,DO,-7.509301662445068,-3.209622859954834
20.0,5e-07,PD,1.0035805702209473,0.8996901512145996
20.0,5e-07,DO,0.7887110710144043,0.9526758193969727
20.0,1e-06,PD,1.5330958366394043,1.344437599182129
20.0,1e-06,DO,1.2910079956054688,1.5668039321899414
20.0,5e-06,PD,1.5498433113098145,1.0636072158813477
20.0,5e-06,DO,0.4082508087158203,1.4053382873535156
20.0,1e-05,PD,2.766995906829834,2.1867012977600098
20.0,1e-05,DO,2.0932064056396484,3.6080832481384277
20.0,5e-05,PD,-4.533001899719238,-5.219992160797119
20.0,5e-05,DO,-1.5353546142578125,2.726588726043701
20.0,0.0001,PD,1.5792241096496582,2.0988078117370605
20.0,0.0001,DO,-8.966020584106445,-4.970213890075684
50.0,5e-07,PD,0.9757866859436035,0.8756217956542969
50.0,5e-07,DO,0.7865314483642578,0.9502134323120117
50.0,1e-06,PD,1.3881773948669434,1.2330341339111328
50.0,1e-06,DO,1.2416067123413086,1.50516939163208
50.0,5e-06,PD,2.159541606903076,1.8158893585205078
50.0,5e-06,DO,2.0013489723205566,2.789547920227051
50.0,1e-05,PD,3.3048386573791504,2.8574161529541016
50.0,1e-05,DO,3.048945903778076,4.2479777336120605
50.0,5e-05,PD,-7.145664215087891,-7.4663567543029785
50.0,5e-05,DO,-4.190314769744873,-0.35469675064086914
50.0,0.0001,PD,-2.6346640586853027,-1.737083911895752
50.0,0.0001,DO,-10.078727722167969,-6.378189563751221
