lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,1.003659725189209,0.899695873260498
0.1,5e-07,DO,0.7900066375732422,0.9542036056518555
0.1,1e-06,PD,1.5364370346069336,1.3431239128112793
0.1,1e-06,DO,1.2935843467712402,1.5702142715454102
0.1,5e-06,PD,-2.3291406631469727,-3.0860657691955566
0.1,5e-06,DO,-3.3462276458740234,-2.311568260192871
0.1,1e-05,PD,-4.060797214508057,-4.530920028686523
0.1,1e-05,DO,-6.241542816162109,-6.564824104309082
0.1,5e-05,PD,-49.492149353027344,-45.66840744018555
0.1,5e-05,DO,-35.89379119873047,-36.157135009765625
0.1,0.0001,PD,-9.283336639404297,-7.041590213775635
0.1,0.0001,DO,0.34232473373413086,4.916983604431152
0.5,5e-07,PD,1.003633975982666,0.8996858596801758
0.5,5e-07,DO,0.789945125579834,0.9541769027709961
0.5,1e-06,PD,1.5365843772888184,1.3433585166931152
0.5,1e-06,DO,1.2933464050292969,1.5700874328613281
0.5,5e-06,PD,-2.019521713256836,-2.7675580978393555
0.5,5e-06,DO,-2.4476213455200195,-1.397510051727295
0.5,1e-05,PD,-4.7349653244018555,-5.210953235626221
0.5,1e-05,DO,-7.171469688415527,-7.478994369506836
0.5,5e-05,PD,-10.516386032104492,-8.010701179504395
0.5,5e-05,DO,-8.915273666381836,-8.624727249145508
0.5,0.0001,PD,2.0927600860595703,1.6243553161621094
0.5,0.0001,DO,-4.6690874099731445,0.7280073165893555
1.0,5e-07,PD,1.0036091804504395,0.8996748924255371
1.0,5e-07,DO,0.7897992134094238,0.9540858268737793
1.0,1e-06,PD,1.5367722511291504,1.3436594009399414
1.0,1e-06,DO,1.29310941696167,1.5699176788330078
1.0,5e-06,PD,-2.3146791458129883,-3.0670251846313477
1.0,5e-06,DO,-2.555922031402588,-1.5033416748046875
1.0,1e-05,PD,-5.021193504333496,-5.516754150390625
1.0,1e-05,DO,-7.0970258712768555,-7.396569728851318
1.0,5e-05,PD,2.645423412322998,3.1371822357177734
1.0,5e-05,DO,3.9750256538391113,7.6821208000183105
1.0,0.0001,PD,2.849135398864746,4.078278541564941
1.0,0.0001,DO,2.6130194664001465,7.3165483474731445
5.0,5e-07,PD,1.0036091804504395,0.8996982574462891
5.0,5e-07,DO,0.789431095123291,0.9537944793701172
5.0,1e-06,PD,1.5372557640075684,1.344376564025879
5.0,1e-06,DO,1.2931947708129883,1.5699372291564941
5.0,5e-06,PD,-1.7538537979125977,-2.471055030822754
5.0,5e-06,DO,-2.3742899894714355,-1.3028030395507812
5.0,1e-05,PD,2.5963640213012695,1.9247956275939941
5.0,1e-05,DO,-1.7058610916137695,-0.7885851860046387
5.0,5e-05,PD,2.340970039367676,1.6407670974731445
5.0,5e-05,DO,5.178890228271484,9.655994415283203
5.0,0.0001,PD,3.700432300567627,3.9400978088378906
5.0,0.0001,DO,-1.4998235702514648,2.3801379203796387
10.0,5e-07,PD,1.0036039352416992,0.8997054100036621
10.0,5e-07,DO,0.7894558906555176,0.9537787437438965
10.0,1e-06,PD,1.5371298789978027,1.3444595336914062
10.0,1e-06,DO,1.292816162109375,1.5695695877075195
10.0,5e-06,PD,-0.055947303771972656,-0.6939716339111328
10.0,5e-06,DO,-0.47443103790283203,0.588564395904541
10.0,1e-05,PD,3.592090129852295,2.7802019119262695
10.0,1e-05,DO,2.784393787384033,4.168398380279541
10.0,5e-05,PD,0.07071399688720703,-0.5004801750183105
10.0,5e-05,DO,5.030056476593018,9.220405578613281
10.0,0.0001,PD,0.9687867164611816,1.4504237174987793
10.0,0.0001,DO,-3.4259204864501953,0.27748584747314453
20.0,5e-07,PD,1.0033183097839355,0.8994965553283691
20.0,5e-07,DO,0.7891678810119629,0.953526496887207
20.0,1e-06,PD,1.5319762229919434,1.3431997299194336
20.0,1e-06,DO,1.2899503707885742,1.5658717155456543
20.0,5e-06,PD,0.8723998069763184,0.34635305404663086
20.0,5e-06,DO,1.7350239753723145,2.678121566772461
20.0,1e-05,PD,3.739467144012451,2.974764823913574
20.0,1e-05,DO,3.3897910118103027,4.788276672363281
20.0,5e-05,PD,-1.6294465065002441,-1.8547635078430176
20.0,5e-05,DO,5.1314897537231445,8.947000503540039
20.0,0.0001,PD,-0.23798322677612305,0.4379258155822754
20.0,0.0001,DO,-4.138192653656006,-0.4289369583129883
50.0,5e-07,PD,0.9748249053955078,0.8756699562072754
50.0,5e-07,DO,0.7822518348693848,0.9458255767822266
50.0,1e-06,PD,1.3798508644104004,1.2283658981323242
50.0,1e-06,DO,1.1907119750976562,1.4439349174499512
50.0,5e-06,PD,1.8494253158569336,1.4921846389770508
50.0,5e-06,DO,2.222775459289551,2.9721484184265137
50.0,1e-05,PD,3.7468409538269043,3.069335460662842
50.0,1e-05,DO,3.5326180458068848,4.63397216796875
50.0,5e-05,PD,-3.0459070205688477,-2.9134106636047363
50.0,5e-05,DO,4.867315292358398,8.26533317565918
50.0,0.0001,PD,-0.5563869476318359,0.21665287017822266
50.0,0.0001,DO,-4.780854225158691,-1.2053704261779785
