lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,1.0037145614624023,0.8997035026550293
0.1,5e-07,DO,0.7899994850158691,0.9541716575622559
0.1,1e-06,PD,1.5364599227905273,1.3430323600769043
0.1,1e-06,DO,1.293571949005127,1.570141315460205
0.1,5e-06,PD,-3.166001319885254,-3.9431962966918945
0.1,5e-06,DO,-3.889594554901123,-2.8626251220703125
0.1,1e-05,PD,-5.731579303741455,-6.245749473571777
0.1,1e-05,DO,-9.543649673461914,-9.888898849487305
0.1,5e-05,PD,-65.19186401367188,-62.70256423950195
0.1,5e-05,DO,-46.219642639160156,-44.205535888671875
0.1,0.0001,PD,-20.409507751464844,-23.35071563720703
0.1,0.0001,DO,-44.18400573730469,-29.795459747314453
0.5,5e-07,PD,1.003666877746582,0.899651050567627
0.5,5e-07,DO,0.7899923324584961,0.9541540145874023
0.5,1e-06,PD,1.5363764762878418,1.3429102897644043
0.5,1e-06,DO,1.2934885025024414,1.5700592994689941
0.5,5e-06,PD,-3.1376867294311523,-3.910928726196289
0.5,5e-06,DO,-3.8778748512268066,-2.8509364128112793
0.5,1e-05,PD,-5.713585376739502,-6.228727340698242
0.5,1e-05,DO,-9.446067810058594,-9.778703689575195
0.5,5e-05,PD,-30.011157989501953,-29.06635284423828
0.5,5e-05,DO,-46.23966979980469,-44.123348236083984
0.5,0.0001,PD,-9.043574333190918,-6.608201026916504
0.5,0.0001,DO,-48.698482513427734,-36.521846771240234
1.0,5e-07,PD,1.0036211013793945,0.8995985984802246
1.0,5e-07,DO,0.7899513244628906,0.9541153907775879
1.0,1e-06,PD,1.5362849235534668,1.3427929878234863
1.0,1e-06,DO,1.2934331893920898,1.56998872756958
1.0,5e-06,PD,-3.1249008178710938,-3.896578311920166
1.0,5e-06,DO,-3.8681178092956543,-2.841203212738037
1.0,1e-05,PD,-5.745785713195801,-6.262443542480469
1.0,1e-05,DO,-9.44862174987793,-9.790306091308594
1.0,5e-05,PD,-14.960514068603516,-15.194284439086914
1.0,5e-05,DO,-37.38729476928711,-37.597843170166016
1.0,0.0001,PD,3.456517219543457,0.22168302536010742
1.0,0.0001,DO,-48.0712890625,-38.703575134277344
5.0,5e-07,PD,1.0034747123718262,0.8994369506835938
5.0,5e-07,DO,0.7898411750793457,0.9540095329284668
5.0,1e-06,PD,1.5361623764038086,1.3427343368530273
5.0,1e-06,DO,1.293259620666504,1.569817066192627
5.0,5e-06,PD,-3.131950855255127,-3.903989791870117
5.0,5e-06,DO,-3.8756937980651855,-2.84883975982666
5.0,1e-05,PD,-5.67279577255249,-6.234029293060303
5.0,1e-05,DO,-9.509461402893066,-9.819425582885742
5.0,5e-05,PD,4.773565292358398,3.8381738662719727
5.0,5e-05,DO,-13.800019264221191,-14.25539493560791
5.0,0.0001,PD,6.126760959625244,4.426892280578613
5.0,0.0001,DO,-2.520176410675049,1.3364391326904297
10.0,5e-07,PD,1.003422737121582,0.8993892669677734
10.0,5e-07,DO,0.789766788482666,0.9539361000061035
10.0,1e-06,PD,1.536147117614746,1.3427538871765137
10.0,1e-06,DO,1.2932014465332031,1.569765567779541
10.0,5e-06,PD,-3.000016212463379,-3.761537551879883
10.0,5e-06,DO,-3.8646774291992188,-2.83699369430542
10.0,1e-05,PD,-4.684762477874756,-5.297123908996582
10.0,1e-05,DO,-9.000190734863281,-8.982419967651367
10.0,5e-05,PD,6.825047016143799,5.510842323303223
10.0,5e-05,DO,-3.887678623199463,-0.08344030380249023
10.0,0.0001,PD,6.379807949066162,4.741576671600342
10.0,0.0001,DO,-2.7544174194335938,1.8112411499023438
20.0,5e-07,PD,1.0033869743347168,0.8993544578552246
20.0,5e-07,DO,0.7897272109985352,0.9538869857788086
20.0,1e-06,PD,1.5360546112060547,1.3427205085754395
20.0,1e-06,DO,1.2930145263671875,1.5695419311523438
20.0,5e-06,PD,-2.083895683288574,-2.8084583282470703
20.0,5e-06,DO,-3.608248233795166,-2.565310478210449
20.0,1e-05,PD,-2.1630845069885254,-2.7878804206848145
20.0,1e-05,DO,-6.1873459815979,-5.273420333862305
20.0,5e-05,PD,6.063936710357666,4.780379295349121
20.0,5e-05,DO,-3.289055824279785,1.1695342063903809
20.0,0.0001,PD,6.403997421264648,4.35405158996582
20.0,0.0001,DO,-15.669228553771973,-8.98132610321045
50.0,5e-07,PD,1.0031933784484863,0.899202823638916
50.0,5e-07,DO,0.7895817756652832,0.9537191390991211
50.0,1e-06,PD,1.534071445465088,1.3414969444274902
50.0,1e-06,DO,1.2920832633972168,1.5684680938720703
50.0,5e-06,PD,-0.0794534683227539,-0.6780385971069336
50.0,5e-06,DO,-1.531872272491455,-0.49457216262817383
50.0,1e-05,PD,0.8353214263916016,0.20174551010131836
50.0,1e-05,DO,-0.317263126373291,1.0745067596435547
50.0,5e-05,PD,5.696890830993652,4.521437644958496
50.0,5e-05,DO,-1.762716293334961,1.8456850051879883
50.0,0.0001,PD,6.054254531860352,3.8601622581481934
50.0,0.0001,DO,-16.379989624023438,-9.281185150146484
