lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,1.0039215087890625,0.8998351097106934
0.1,5e-07,DO,0.7898216247558594,0.9540224075317383
0.1,1e-06,PD,1.5379128456115723,1.3443245887756348
0.1,1e-06,DO,1.293015480041504,1.5696592330932617
0.1,5e-06,PD,0.15567302703857422,-0.5813288688659668
0.1,5e-06,DO,-0.5339627265930176,0.5187482833862305
0.1,1e-05,PD,-1.4990582466125488,-1.777277946472168
0.1,1e-05,DO,-0.21274995803833008,-0.3997921943664551
0.1,5e-05,PD,-32.81309509277344,-28.844724655151367
0.1,5e-05,DO,-28.79214096069336,-28.995445251464844
0.1,0.0001,PD,-10.521381378173828,-6.12286901473999
0.1,0.0001,DO,-10.440071105957031,-1.9079222679138184
0.5,5e-07,PD,1.0042328834533691,0.8999233245849609
0.5,5e-07,DO,0.7891440391540527,0.9534449577331543
0.5,1e-06,PD,1.539970874786377,1.3458495140075684
0.5,1e-06,DO,1.2916531562805176,1.5683231353759766
0.5,5e-06,PD,-0.4612884521484375,-1.1888232231140137
0.5,5e-06,DO,0.0020761489868164062,1.0624361038208008
0.5,1e-05,PD,-1.5797882080078125,-1.819715976715088
0.5,1e-05,DO,-2.0509486198425293,-2.154287338256836
0.5,5e-05,PD,2.265852928161621,3.737302780151367
0.5,5e-05,DO,3.4900283813476562,7.849907875061035
0.5,0.0001,PD,6.004947662353516,4.959338188171387
0.5,0.0001,DO,-10.50448989868164,-11.63455581665039
1.0,5e-07,PD,1.0040812492370605,0.899653434753418
1.0,5e-07,DO,0.7885327339172363,0.9528546333312988
1.0,1e-06,PD,1.539879322052002,1.3458590507507324
1.0,1e-06,DO,1.2907485961914062,1.5673789978027344
1.0,5e-06,PD,-0.29519224166870117,-0.991692066192627
1.0,5e-06,DO,-0.6387457847595215,0.4221954345703125
1.0,1e-05,PD,0.1437234878540039,-0.040599822998046875
1.0,1e-05,DO,-1.137315273284912,-0.8170785903930664
1.0,5e-05,PD,5.6376824378967285,5.423659801483154
1.0,5e-05,DO,4.996143817901611,10.360025405883789
1.0,0.0001,PD,6.379270076751709,5.408607482910156
1.0,0.0001,DO,-5.3730549812316895,1.0375914573669434
5.0,5e-07,PD,1.0012474060058594,0.8971014022827148
5.0,5e-07,DO,0.7867951393127441,0.9511380195617676
5.0,1e-06,PD,1.5234918594360352,1.3359112739562988
5.0,1e-06,DO,1.2897529602050781,1.5660896301269531
5.0,5e-06,PD,1.403292179107666,0.8813352584838867
5.0,5e-06,DO,0.7928099632263184,1.8380775451660156
5.0,1e-05,PD,3.424851894378662,3.0507640838623047
5.0,1e-05,DO,1.8810925483703613,3.4066390991210938
5.0,5e-05,PD,1.5690441131591797,0.8469157218933105
5.0,5e-05,DO,2.790895462036133,6.886196613311768
5.0,0.0001,PD,4.318112850189209,4.258586883544922
5.0,0.0001,DO,-4.0599470138549805,0.6649742126464844
10.0,5e-07,PD,0.9760775566101074,0.8750619888305664
10.0,5e-07,DO,0.7862362861633301,0.9505496025085449
10.0,1e-06,PD,1.4240398406982422,1.25669527053833
10.0,1e-06,DO,1.2673745155334473,1.5383858680725098
10.0,5e-06,PD,2.063075065612793,1.6870126724243164
10.0,5e-06,DO,1.6679248809814453,2.589794158935547
10.0,1e-05,PD,3.9314069747924805,3.5875625610351562
10.0,1e-05,DO,2.3345742225646973,3.8223438262939453
10.0,5e-05,PD,0.5830836296081543,0.01226663589477539
10.0,5e-05,DO,2.4927682876586914,6.237424373626709
10.0,0.0001,PD,3.9215126037597656,3.712250232696533
10.0,0.0001,DO,-7.002178192138672,-3.0430822372436523
20.0,5e-07,PD,0.8662219047546387,0.776404857635498
20.0,5e-07,DO,0.7717547416687012,0.9339990615844727
20.0,1e-06,PD,1.2097187042236328,1.0744028091430664
20.0,1e-06,DO,1.1318302154541016,1.3777694702148438
20.0,5e-06,PD,2.2497644424438477,1.9880480766296387
20.0,5e-06,DO,1.993964672088623,2.786289691925049
20.0,1e-05,PD,3.6642518043518066,3.371485710144043
20.0,1e-05,DO,2.7783403396606445,4.098151206970215
20.0,5e-05,PD,-0.09697341918945312,-0.5005946159362793
20.0,5e-05,DO,2.3404932022094727,5.836211681365967
20.0,0.0001,PD,3.3006510734558105,3.564439296722412
20.0,0.0001,DO,-6.872645854949951,-3.173154830932617
50.0,5e-07,PD,0.6287441253662109,0.5628023147583008
50.0,5e-07,DO,0.6300492286682129,0.770197868347168
50.0,1e-06,PD,0.8461737632751465,0.754361629486084
50.0,1e-06,DO,0.8413357734680176,1.0375957489013672
50.0,5e-06,PD,2.124251365661621,1.9442076683044434
50.0,5e-06,DO,1.9543333053588867,2.593815803527832
50.0,1e-05,PD,3.2851576805114746,3.064401626586914
50.0,1e-05,DO,2.928135871887207,4.074097156524658
50.0,5e-05,PD,-0.5445609092712402,-0.8094372749328613
50.0,5e-05,DO,2.1419572830200195,5.358983516693115
50.0,0.0001,PD,3.41982364654541,3.6187005043029785
50.0,0.0001,DO,-5.201852321624756,-1.78031587600708
