lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.9321188926696777,0.7371249198913574
0.1,5e-07,DO,0.9153718948364258,0.9702820777893066
0.1,1e-06,PD,1.7104320526123047,1.327561378479004
0.1,1e-06,DO,1.667447566986084,1.7483625411987305
0.1,5e-06,PD,3.267314910888672,2.1575145721435547
0.1,5e-06,DO,0.4223465919494629,1.0846457481384277
0.1,1e-05,PD,1.8849477767944336,0.5875754356384277
0.1,1e-05,DO,-3.35380220413208,-1.901590347290039
0.1,5e-05,PD,-25.66272735595703,-23.34266471862793
0.1,5e-05,DO,-37.2297477722168,-42.2536506652832
0.1,0.0001,PD,-1.9060249328613281,-5.337201118469238
0.1,0.0001,DO,-43.16618347167969,-38.08186721801758
0.5,5e-07,PD,0.9317765235900879,0.7367796897888184
0.5,5e-07,DO,0.9151453971862793,0.9701051712036133
0.5,1e-06,PD,1.7094717025756836,1.3266730308532715
0.5,1e-06,DO,1.6668195724487305,1.747899055480957
0.5,5e-06,PD,3.274984836578369,2.166353702545166
0.5,5e-06,DO,0.4230923652648926,1.0873403549194336
0.5,1e-05,PD,1.8938474655151367,0.6104788780212402
0.5,1e-05,DO,-3.333052158355713,-1.8747386932373047
0.5,5e-05,PD,-16.23419189453125,-14.712991714477539
0.5,5e-05,DO,-29.80556869506836,-38.308502197265625
0.5,0.0001,PD,8.991874694824219,5.92421293258667
0.5,0.0001,DO,-1.9612174034118652,2.3219432830810547
1.0,5e-07,PD,0.9314298629760742,0.7364459037780762
1.0,5e-07,DO,0.9149012565612793,0.96990966796875
1.0,1e-06,PD,1.7086610794067383,1.325972557067871
1.0,1e-06,DO,1.666210651397705,1.7474274635314941
1.0,5e-06,PD,3.280951499938965,2.17226505279541
1.0,5e-06,DO,0.42427682876586914,1.0902113914489746
1.0,1e-05,PD,1.9260106086730957,0.6419329643249512
1.0,1e-05,DO,-3.312993049621582,-1.8498649597167969
1.0,5e-05,PD,2.350207805633545,-1.1434569358825684
1.0,5e-05,DO,-10.850984573364258,-10.377687454223633
1.0,0.0001,PD,6.951597213745117,3.3391809463500977
1.0,0.0001,DO,-1.092452049255371,1.350480556488037
5.0,5e-07,PD,0.929990291595459,0.7352557182312012
5.0,5e-07,DO,0.9135689735412598,0.9687433242797852
5.0,1e-06,PD,1.7064685821533203,1.3241472244262695
5.0,1e-06,DO,1.663717269897461,1.7453289031982422
5.0,5e-06,PD,3.3891186714172363,2.3075571060180664
5.0,5e-06,DO,0.7019667625427246,1.3099093437194824
5.0,1e-05,PD,3.2119879722595215,1.8951630592346191
5.0,1e-05,DO,-1.3016953468322754,-0.15341424942016602
5.0,5e-05,PD,5.617671489715576,5.30061674118042
5.0,5e-05,DO,-0.913877010345459,2.190183162689209
5.0,0.0001,PD,3.7679576873779297,2.9838762283325195
5.0,0.0001,DO,-0.8952426910400391,1.742009162902832
10.0,5e-07,PD,0.9293522834777832,0.7347512245178223
10.0,5e-07,DO,0.9128289222717285,0.9680957794189453
10.0,1e-06,PD,1.7051992416381836,1.323491096496582
10.0,1e-06,DO,1.6627445220947266,1.744187355041504
10.0,5e-06,PD,3.4393725395202637,2.4584927558898926
10.0,5e-06,DO,1.3444008827209473,1.8326935768127441
10.0,1e-05,PD,3.7482967376708984,2.5479536056518555
10.0,1e-05,DO,0.29071903228759766,1.1313652992248535
10.0,5e-05,PD,7.8795928955078125,7.304832458496094
10.0,5e-05,DO,0.08143329620361328,2.55244779586792
10.0,0.0001,PD,-1.7455706596374512,-2.6100144386291504
10.0,0.0001,DO,-1.5289177894592285,0.7773861885070801
20.0,5e-07,PD,0.9283876419067383,0.734100341796875
20.0,5e-07,DO,0.9120378494262695,0.9672784805297852
20.0,1e-06,PD,1.6802358627319336,1.3073968887329102
20.0,1e-06,DO,1.648078441619873,1.7276906967163086
20.0,5e-06,PD,3.322490692138672,2.469475269317627
20.0,5e-06,DO,2.0088186264038086,2.353414535522461
20.0,1e-05,PD,3.926093578338623,2.927889347076416
20.0,1e-05,DO,1.7647209167480469,2.2630138397216797
20.0,5e-05,PD,5.408584117889404,5.064890384674072
20.0,5e-05,DO,-0.007615566253662109,1.963383674621582
20.0,0.0001,PD,2.9802193641662598,2.26963472366333
20.0,0.0001,DO,-3.297484874725342,-1.1907658576965332
50.0,5e-07,PD,0.8956503868103027,0.7094459533691406
50.0,5e-07,DO,0.889960765838623,0.9439802169799805
50.0,1e-06,PD,1.4655451774597168,1.1481695175170898
50.0,1e-06,DO,1.468658447265625,1.5373339653015137
50.0,5e-06,PD,2.885775089263916,2.215620517730713
50.0,5e-06,DO,2.390383243560791,2.5508503913879395
50.0,1e-05,PD,3.790210723876953,2.958858013153076
50.0,1e-05,DO,2.887998104095459,3.0318350791931152
50.0,5e-05,PD,4.22650146484375,4.024441242218018
50.0,5e-05,DO,-5.458254814147949,-3.529191017150879
50.0,0.0001,PD,-3.4263248443603516,-3.7771730422973633
50.0,0.0001,DO,-4.979051113128662,-3.1083202362060547
