lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.9311046600341797,0.7359519004821777
0.1,5e-07,DO,0.9142594337463379,0.9693527221679688
0.1,1e-06,PD,1.7070984840393066,1.3240346908569336
0.1,1e-06,DO,1.6633272171020508,1.7451343536376953
0.1,5e-06,PD,3.2874631881713867,2.198460102081299
0.1,5e-06,DO,0.5668377876281738,1.2512292861938477
0.1,1e-05,PD,2.1367201805114746,0.9497160911560059
0.1,1e-05,DO,-1.7986259460449219,-0.267336368560791
0.1,5e-05,PD,-25.14543914794922,-20.355852127075195
0.1,5e-05,DO,-13.50973892211914,-18.55348014831543
0.1,0.0001,PD,1.5444564819335938,0.2992100715637207
0.1,0.0001,DO,-4.500032424926758,-1.378404140472412
0.5,5e-07,PD,0.9269232749938965,0.7324833869934082
0.5,5e-07,DO,0.9101815223693848,0.9660739898681641
0.5,1e-06,PD,1.6970329284667969,1.315871238708496
0.5,1e-06,DO,1.6510705947875977,1.7355422973632812
0.5,5e-06,PD,3.271378517150879,2.232814311981201
0.5,5e-06,DO,0.9188456535339355,1.6383538246154785
0.5,1e-05,PD,2.5592288970947266,1.2809209823608398
0.5,1e-05,DO,-0.9459443092346191,0.5203771591186523
0.5,5e-05,PD,4.134449005126953,4.3227152824401855
0.5,5e-05,DO,3.4919896125793457,6.811948776245117
0.5,0.0001,PD,-0.1049337387084961,2.959588050842285
0.5,0.0001,DO,3.040400505065918,8.31264877319336
1.0,5e-07,PD,0.9237532615661621,0.7299509048461914
1.0,5e-07,DO,0.9064021110534668,0.962989330291748
1.0,1e-06,PD,1.6917004585266113,1.3126368522644043
1.0,1e-06,DO,1.6430234909057617,1.7290797233581543
1.0,5e-06,PD,3.2475085258483887,2.265261650085449
1.0,5e-06,DO,1.2002568244934082,1.8706798553466797
1.0,1e-05,PD,3.0371809005737305,1.8387150764465332
1.0,1e-05,DO,-0.17893505096435547,1.107022762298584
1.0,5e-05,PD,6.133974552154541,5.975396156311035
1.0,5e-05,DO,4.027511119842529,7.231898307800293
1.0,0.0001,PD,5.133423328399658,3.4886322021484375
1.0,0.0001,DO,3.417847156524658,7.87255859375
5.0,5e-07,PD,0.9040584564208984,0.7170133590698242
5.0,5e-07,DO,0.8881206512451172,0.9465079307556152
5.0,1e-06,PD,1.543398380279541,1.2105975151062012
5.0,1e-06,DO,1.520066261291504,1.6058387756347656
5.0,5e-06,PD,2.780444622039795,2.125255584716797
5.0,5e-06,DO,2.040618896484375,2.4025611877441406
5.0,1e-05,PD,3.640214443206787,2.777888774871826
5.0,1e-05,DO,2.2519798278808594,2.8357090950012207
5.0,5e-05,PD,6.390542507171631,6.980377197265625
5.0,5e-05,DO,4.23337459564209,6.715022563934326
5.0,0.0001,PD,2.7840986251831055,3.1466970443725586
5.0,0.0001,DO,-0.6899032592773438,3.082319736480713
10.0,5e-07,PD,0.8319244384765625,0.6623544692993164
10.0,5e-07,DO,0.8262810707092285,0.8835515975952148
10.0,1e-06,PD,1.2965354919433594,1.0301933288574219
10.0,1e-06,DO,1.3081459999084473,1.391244888305664
10.0,5e-06,PD,2.2790942192077637,1.7868976593017578
10.0,5e-06,DO,2.0870656967163086,2.339366912841797
10.0,1e-05,PD,3.5932130813598633,2.820312976837158
10.0,1e-05,DO,2.684542655944824,3.0802388191223145
10.0,5e-05,PD,5.683081150054932,6.4900922775268555
10.0,5e-05,DO,4.098150253295898,6.366787433624268
10.0,0.0001,PD,3.001020908355713,3.8009281158447266
10.0,0.0001,DO,-1.4982237815856934,2.326577663421631
20.0,5e-07,PD,0.6904635429382324,0.5539498329162598
20.0,5e-07,DO,0.6995368003845215,0.7526288032531738
20.0,1e-06,PD,0.9972925186157227,0.8040866851806641
20.0,1e-06,DO,1.0419683456420898,1.1219229698181152
20.0,5e-06,PD,1.7858266830444336,1.4246253967285156
20.0,5e-06,DO,1.8544330596923828,2.040468692779541
20.0,1e-05,PD,3.4361839294433594,2.7653350830078125
20.0,1e-05,DO,2.726518154144287,3.0064773559570312
20.0,5e-05,PD,5.123506546020508,6.085823059082031
20.0,5e-05,DO,3.8542537689208984,5.979215621948242
20.0,0.0001,PD,1.4881830215454102,2.0607080459594727
20.0,0.0001,DO,-1.7627925872802734,1.6967883110046387
50.0,5e-07,PD,0.4718017578125,0.3831634521484375
50.0,5e-07,DO,0.494842529296875,0.5410289764404297
50.0,1e-06,PD,0.6246352195739746,0.5084881782531738
50.0,1e-06,DO,0.638984203338623,0.7096047401428223
50.0,5e-06,PD,1.354513168334961,1.1036958694458008
50.0,5e-06,DO,1.4938154220581055,1.6406598091125488
50.0,1e-05,PD,3.2051143646240234,2.6294593811035156
50.0,1e-05,DO,2.6425914764404297,2.8395466804504395
50.0,5e-05,PD,4.698202610015869,5.785810470581055
50.0,5e-05,DO,3.6348605155944824,5.645037651062012
50.0,0.0001,PD,0.15023326873779297,0.42519521713256836
50.0,0.0001,DO,-1.8679943084716797,0.8768119812011719
