lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.9321050643920898,0.7369794845581055
0.1,5e-07,DO,0.9153738021850586,0.9702458381652832
0.1,1e-06,PD,1.710278034210205,1.327169418334961
0.1,1e-06,DO,1.6674003601074219,1.7482662200927734
0.1,5e-06,PD,3.265904426574707,2.1652936935424805
0.1,5e-06,DO,0.4200305938720703,1.0858416557312012
0.1,1e-05,PD,1.9168481826782227,0.689323902130127
0.1,1e-05,DO,-3.3385305404663086,-1.8739452362060547
0.1,5e-05,PD,-15.230022430419922,-9.998739242553711
0.1,5e-05,DO,-34.94670486450195,-44.81349563598633
0.1,0.0001,PD,0.9956178665161133,-0.6597938537597656
0.1,0.0001,DO,-16.5550537109375,-12.6763916015625
0.5,5e-07,PD,0.931511402130127,0.7363438606262207
0.5,5e-07,DO,0.9151201248168945,0.9700264930725098
0.5,1e-06,PD,1.7083988189697266,1.325301170349121
0.5,1e-06,DO,1.6665124893188477,1.747629165649414
0.5,5e-06,PD,3.271853446960449,2.191988945007324
0.5,5e-06,DO,0.41666507720947266,1.0934629440307617
0.5,1e-05,PD,1.9067211151123047,0.6844244003295898
0.5,1e-05,DO,-3.2707066535949707,-1.796332836151123
0.5,5e-05,PD,-17.992525100708008,-16.319869995117188
0.5,5e-05,DO,-18.509878158569336,-27.979509353637695
0.5,0.0001,PD,7.131860256195068,2.9984846115112305
0.5,0.0001,DO,-4.086790084838867,-0.5334272384643555
1.0,5e-07,PD,0.930915355682373,0.7357177734375
1.0,5e-07,DO,0.9148306846618652,0.9697728157043457
1.0,1e-06,PD,1.7067837715148926,1.3237910270690918
1.0,1e-06,DO,1.6655564308166504,1.7469348907470703
1.0,5e-06,PD,3.2718844413757324,2.1944899559020996
1.0,5e-06,DO,0.41883087158203125,1.1003823280334473
1.0,1e-05,PD,1.946110725402832,0.7154202461242676
1.0,1e-05,DO,-3.249851703643799,-1.7815632820129395
1.0,5e-05,PD,-0.19591474533081055,0.5718178749084473
1.0,5e-05,DO,-5.676695346832275,-3.8789143562316895
1.0,0.0001,PD,6.923553943634033,5.366145133972168
1.0,0.0001,DO,-3.234935760498047,-0.8692808151245117
5.0,5e-07,PD,0.9285783767700195,0.7334494590759277
5.0,5e-07,DO,0.9132132530212402,0.9683279991149902
5.0,1e-06,PD,1.703669548034668,1.3214449882507324
5.0,1e-06,DO,1.662165641784668,1.7441015243530273
5.0,5e-06,PD,3.3936352729797363,2.3184237480163574
5.0,5e-06,DO,0.5022621154785156,1.167870044708252
5.0,1e-05,PD,3.7009263038635254,2.457444190979004
5.0,1e-05,DO,-0.9949178695678711,0.31416749954223633
5.0,5e-05,PD,6.68506383895874,5.828090667724609
5.0,5e-05,DO,0.7642498016357422,3.5980825424194336
5.0,0.0001,PD,7.392590045928955,6.719790935516357
5.0,0.0001,DO,-0.9557528495788574,3.333197593688965
10.0,5e-07,PD,0.9279069900512695,0.7328624725341797
10.0,5e-07,DO,0.9123048782348633,0.9674601554870605
10.0,1e-06,PD,1.703272819519043,1.3211431503295898
10.0,1e-06,DO,1.6618118286132812,1.7435784339904785
10.0,5e-06,PD,3.6242756843566895,2.602905750274658
10.0,5e-06,DO,1.333531379699707,1.9154753684997559
10.0,1e-05,PD,4.312687873840332,3.185333728790283
10.0,1e-05,DO,1.6727256774902344,2.7053542137145996
10.0,5e-05,PD,7.426152229309082,7.106088161468506
10.0,5e-05,DO,1.4090237617492676,4.032774925231934
10.0,0.0001,PD,1.2210536003112793,0.00800943374633789
10.0,0.0001,DO,-3.23626708984375,0.6799397468566895
20.0,5e-07,PD,0.9275321960449219,0.7325143814086914
20.0,5e-07,DO,0.911806583404541,0.9669427871704102
20.0,1e-06,PD,1.7001771926879883,1.3193302154541016
20.0,1e-06,DO,1.6586127281188965,1.7406630516052246
20.0,5e-06,PD,3.513908863067627,2.6413817405700684
20.0,5e-06,DO,2.3882875442504883,2.8345656394958496
20.0,1e-05,PD,4.183465003967285,3.1888017654418945
20.0,1e-05,DO,3.013680934906006,3.7298526763916016
20.0,5e-05,PD,2.7181529998779297,2.839858055114746
20.0,5e-05,DO,0.9625258445739746,3.548814296722412
20.0,0.0001,PD,-0.44513511657714844,-0.688593864440918
20.0,0.0001,DO,-6.639008045196533,-3.870034694671631
50.0,5e-07,PD,0.921320915222168,0.7278599739074707
50.0,5e-07,DO,0.906491756439209,0.9620471000671387
50.0,1e-06,PD,1.5588583946228027,1.2150354385375977
50.0,1e-06,DO,1.5467143058776855,1.6322426795959473
50.0,5e-06,PD,2.7732458114624023,2.1347808837890625
50.0,5e-06,DO,2.5433239936828613,2.8282551765441895
50.0,1e-05,PD,3.5311717987060547,2.7743921279907227
50.0,1e-05,DO,3.2850823402404785,3.6942014694213867
50.0,5e-05,PD,-2.046496868133545,-1.3031220436096191
50.0,5e-05,DO,-2.0100908279418945,0.48682594299316406
50.0,0.0001,PD,-2.076137065887451,-1.2805981636047363
50.0,0.0001,DO,-6.403083801269531,-2.9922776222229004
