lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.932380199432373,0.7371993064880371
0.1,5e-07,DO,0.9154396057128906,0.9703273773193359
0.1,1e-06,PD,1.7108688354492188,1.327817440032959
0.1,1e-06,DO,1.6675949096679688,1.7485003471374512
0.1,5e-06,PD,3.2636795043945312,2.1629958152770996
0.1,5e-06,DO,0.4811363220214844,1.150674819946289
0.1,1e-05,PD,1.9670453071594238,0.7182784080505371
0.1,1e-05,DO,-2.8033370971679688,-1.3147683143615723
0.1,5e-05,PD,-18.971458435058594,-16.90193748474121
0.1,5e-05,DO,-31.26523780822754,-41.080604553222656
0.1,0.0001,PD,-2.1893224716186523,-2.480011463165283
0.1,0.0001,DO,-7.061541557312012,-2.551671028137207
0.5,5e-07,PD,0.932365894317627,0.7372393608093262
0.5,5e-07,DO,0.915412425994873,0.9703383445739746
0.5,1e-06,PD,1.710583209991455,1.327826976776123
0.5,1e-06,DO,1.6674509048461914,1.7485074996948242
0.5,5e-06,PD,3.2601656913757324,2.1782326698303223
0.5,5e-06,DO,0.6037373542785645,1.2879853248596191
0.5,1e-05,PD,1.935354232788086,0.6940579414367676
0.5,1e-05,DO,-2.671229839324951,-1.1605396270751953
0.5,5e-05,PD,-10.950337409973145,-8.97380256652832
0.5,5e-05,DO,-28.234861373901367,-39.40654373168945
0.5,0.0001,PD,-4.0408406257629395,-3.677246570587158
0.5,0.0001,DO,-14.83519458770752,-17.239500045776367
1.0,5e-07,PD,0.9323372840881348,0.737269401550293
1.0,5e-07,DO,0.9153842926025391,0.9703564643859863
1.0,1e-06,PD,1.7102375030517578,1.327763557434082
1.0,1e-06,DO,1.667231559753418,1.748445987701416
1.0,5e-06,PD,3.251424789428711,2.173647403717041
1.0,5e-06,DO,0.6340880393981934,1.3238015174865723
1.0,1e-05,PD,1.9307780265808105,0.6798219680786133
1.0,1e-05,DO,-2.9119415283203125,-1.4116458892822266
1.0,5e-05,PD,-2.9816246032714844,-2.7206616401672363
1.0,5e-05,DO,-5.33096170425415,-6.913841247558594
1.0,0.0001,PD,4.1632981300354,4.3594207763671875
1.0,0.0001,DO,-2.3816962242126465,0.25174522399902344
5.0,5e-07,PD,0.9320483207702637,0.7372736930847168
5.0,5e-07,DO,0.9150824546813965,0.9702343940734863
5.0,1e-06,PD,1.7088255882263184,1.3270416259765625
5.0,1e-06,DO,1.6661367416381836,1.7478742599487305
5.0,5e-06,PD,3.2762017250061035,2.197035789489746
5.0,5e-06,DO,0.5626001358032227,1.2419042587280273
5.0,1e-05,PD,3.0517964363098145,1.8430862426757812
5.0,1e-05,DO,-1.5646772384643555,-0.16787338256835938
5.0,5e-05,PD,7.182446002960205,6.274283409118652
5.0,5e-05,DO,3.9963698387145996,7.260804653167725
5.0,0.0001,PD,5.715041637420654,5.800832271575928
5.0,0.0001,DO,2.8436203002929688,6.368284225463867
10.0,5e-07,PD,0.9317507743835449,0.7371392250061035
10.0,5e-07,DO,0.9149026870727539,0.9701347351074219
10.0,1e-06,PD,1.7081232070922852,1.3267059326171875
10.0,1e-06,DO,1.6658620834350586,1.7476940155029297
10.0,5e-06,PD,3.4527153968811035,2.442077159881592
10.0,5e-06,DO,0.8921976089477539,1.5134696960449219
10.0,1e-05,PD,4.114180088043213,3.088926315307617
10.0,1e-05,DO,1.5285959243774414,2.6472620964050293
10.0,5e-05,PD,7.313739776611328,7.15628719329834
10.0,5e-05,DO,4.5066819190979,6.9588165283203125
10.0,0.0001,PD,2.733227252960205,3.4455833435058594
10.0,0.0001,DO,1.7043347358703613,5.45545768737793
20.0,5e-07,PD,0.9314632415771484,0.736992359161377
20.0,5e-07,DO,0.9147849082946777,0.9700789451599121
20.0,1e-06,PD,1.7055420875549316,1.3253560066223145
20.0,1e-06,DO,1.6656875610351562,1.7475743293762207
20.0,5e-06,PD,3.4658799171447754,2.5980868339538574
20.0,5e-06,DO,2.0884876251220703,2.5251364707946777
20.0,1e-05,PD,4.1689372062683105,3.4268670082092285
20.0,1e-05,DO,2.7488584518432617,3.6700992584228516
20.0,5e-05,PD,6.932253360748291,7.021686553955078
20.0,5e-05,DO,5.217414855957031,7.4566330909729
20.0,0.0001,PD,3.29714298248291,3.974094867706299
20.0,0.0001,DO,0.08340978622436523,3.4419875144958496
50.0,5e-07,PD,0.9271707534790039,0.7342042922973633
50.0,5e-07,DO,0.914299488067627,0.9696927070617676
50.0,1e-06,PD,1.6093482971191406,1.2611093521118164
50.0,1e-06,DO,1.6342315673828125,1.7145743370056152
50.0,5e-06,PD,2.9020791053771973,2.294736385345459
50.0,5e-06,DO,2.594761371612549,2.8661251068115234
50.0,1e-05,PD,3.6198487281799316,3.2045536041259766
50.0,1e-05,DO,3.2850236892700195,3.9736056327819824
50.0,5e-05,PD,6.326349258422852,6.730716228485107
50.0,5e-05,DO,4.941380500793457,6.859586715698242
50.0,0.0001,PD,2.650784969329834,3.7341465950012207
50.0,0.0001,DO,-0.9133081436157227,2.0906753540039062
