lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.9321384429931641,0.7372031211853027
0.1,5e-07,DO,0.9152789115905762,0.9702634811401367
0.1,1e-06,PD,1.7104873657226562,1.3277678489685059
0.1,1e-06,DO,1.667269229888916,1.7483453750610352
0.1,5e-06,PD,3.2647199630737305,2.1551337242126465
0.1,5e-06,DO,0.4205632209777832,1.082901954650879
0.1,1e-05,PD,1.8768296241760254,0.577578067779541
0.1,1e-05,DO,-3.362208843231201,-1.9104299545288086
0.1,5e-05,PD,-25.62618637084961,-27.164264678955078
0.1,5e-05,DO,-42.004878997802734,-49.30122375488281
0.1,0.0001,PD,0.6057496070861816,0.5528979301452637
0.1,0.0001,DO,-8.820858001708984,-1.8176193237304688
0.5,5e-07,PD,0.9319295883178711,0.737030029296875
0.5,5e-07,DO,0.9150400161743164,0.970099925994873
0.5,1e-06,PD,1.7098135948181152,1.3272347450256348
0.5,1e-06,DO,1.666471004486084,1.747755527496338
0.5,5e-06,PD,3.265158176422119,2.1570234298706055
0.5,5e-06,DO,0.41655874252319336,1.0799551010131836
0.5,1e-05,PD,1.89418363571167,0.6093020439147949
0.5,1e-05,DO,-3.360978126525879,-1.90547513961792
0.5,5e-05,PD,-23.034473419189453,-25.097803115844727
0.5,5e-05,DO,-34.36626434326172,-36.832069396972656
0.5,0.0001,PD,3.7226433753967285,0.40845346450805664
0.5,0.0001,DO,-16.61377716064453,-15.457794189453125
1.0,5e-07,PD,0.9316921234130859,0.7368369102478027
1.0,5e-07,DO,0.9147486686706543,0.9698805809020996
1.0,1e-06,PD,1.7090520858764648,1.3266396522521973
1.0,1e-06,DO,1.6655488014221191,1.7470669746398926
1.0,5e-06,PD,3.266934394836426,2.1602907180786133
1.0,5e-06,DO,0.4125247001647949,1.0775213241577148
1.0,1e-05,PD,1.9022002220153809,0.6221060752868652
1.0,1e-05,DO,-3.3574514389038086,-1.8979182243347168
1.0,5e-05,PD,-26.09210205078125,-27.590173721313477
1.0,5e-05,DO,-34.27286148071289,-36.23127365112305
1.0,0.0001,PD,3.5805764198303223,1.075225830078125
1.0,0.0001,DO,-6.158878803253174,-3.9820327758789062
5.0,5e-07,PD,0.9302496910095215,0.7356839179992676
5.0,5e-07,DO,0.9129600524902344,0.9685373306274414
5.0,1e-06,PD,1.7055821418762207,1.324012279510498
5.0,1e-06,DO,1.6608800888061523,1.7436137199401855
5.0,5e-06,PD,3.278681755065918,2.1726179122924805
5.0,5e-06,DO,0.406033992767334,1.0741467475891113
5.0,1e-05,PD,1.9191327095031738,0.6408419609069824
5.0,1e-05,DO,-3.337602138519287,-1.876152515411377
5.0,5e-05,PD,4.38388729095459,1.3436317443847656
5.0,5e-05,DO,-10.11282730102539,-7.816959857940674
5.0,0.0001,PD,5.991187572479248,2.6223373413085938
5.0,0.0001,DO,-2.159224510192871,0.5326576232910156
10.0,5e-07,PD,0.9291834831237793,0.7348775863647461
10.0,5e-07,DO,0.9114093780517578,0.967381477355957
10.0,1e-06,PD,1.7042179107666016,1.3230667114257812
10.0,1e-06,DO,1.658231258392334,1.7416467666625977
10.0,5e-06,PD,3.2819318771362305,2.176408290863037
10.0,5e-06,DO,0.4098491668701172,1.074289321899414
10.0,1e-05,PD,2.094912052154541,0.8295764923095703
10.0,1e-05,DO,-3.2494592666625977,-1.8116612434387207
10.0,5e-05,PD,5.9482035636901855,2.9342641830444336
10.0,5e-05,DO,-4.0677032470703125,-0.7868428230285645
10.0,0.0001,PD,6.156411170959473,3.608966827392578
10.0,0.0001,DO,-2.8355770111083984,-0.4516463279724121
20.0,5e-07,PD,0.9281625747680664,0.7341017723083496
20.0,5e-07,DO,0.9096689224243164,0.9661121368408203
20.0,1e-06,PD,1.7036819458007812,1.322685718536377
20.0,1e-06,DO,1.656641960144043,1.7403841018676758
20.0,5e-06,PD,3.3070220947265625,2.2057042121887207
20.0,5e-06,DO,0.44999027252197266,1.102971076965332
20.0,1e-05,PD,2.8481783866882324,1.60746431350708
20.0,1e-05,DO,-2.223013401031494,-0.948850154876709
20.0,5e-05,PD,7.158450603485107,4.840501308441162
20.0,5e-05,DO,0.25470733642578125,2.853421688079834
20.0,0.0001,PD,-0.2867584228515625,-1.6956195831298828
20.0,0.0001,DO,-3.458695411682129,-1.5096864700317383
50.0,5e-07,PD,0.9274587631225586,0.7336268424987793
50.0,5e-07,DO,0.9081478118896484,0.9649853706359863
50.0,1e-06,PD,1.7018256187438965,1.3216376304626465
50.0,1e-06,DO,1.6540751457214355,1.7381329536437988
50.0,5e-06,PD,3.4201102256774902,2.3883118629455566
50.0,5e-06,DO,1.1405200958251953,1.665489673614502
50.0,1e-05,PD,3.9666566848754883,2.736060619354248
50.0,1e-05,DO,0.707059383392334,1.5238637924194336
50.0,5e-05,PD,5.021669387817383,3.479118824005127
50.0,5e-05,DO,1.6946234703063965,3.671515941619873
50.0,0.0001,PD,1.7730116844177246,1.095993995666504
50.0,0.0001,DO,-3.53924560546875,-1.7048325538635254
