lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.9309420585632324,0.7361044883728027
0.1,5e-07,DO,0.9146699905395508,0.9695539474487305
0.1,1e-06,PD,1.7063417434692383,1.324112892150879
0.1,1e-06,DO,1.6643915176391602,1.7456350326538086
0.1,5e-06,PD,3.2335705757141113,2.1422533988952637
0.1,5e-06,DO,0.9200572967529297,1.6319499015808105
0.1,1e-05,PD,2.14274263381958,0.8776068687438965
0.1,1e-05,DO,-0.009461402893066406,1.5942721366882324
0.1,5e-05,PD,-11.662296295166016,-7.9669647216796875
0.1,5e-05,DO,-13.736166000366211,-21.29926109313965
0.1,0.0001,PD,-12.863466262817383,-9.173408508300781
0.1,0.0001,DO,-32.56842803955078,-39.941001892089844
0.5,5e-07,PD,0.926673412322998,0.7324337959289551
0.5,5e-07,DO,0.9111299514770508,0.9662761688232422
0.5,1e-06,PD,1.6933541297912598,1.3133420944213867
0.5,1e-06,DO,1.6521210670471191,1.73518705368042
0.5,5e-06,PD,3.162902355194092,2.0885400772094727
0.5,5e-06,DO,1.3927536010742188,2.168006420135498
0.5,1e-05,PD,1.9275612831115723,0.6019763946533203
0.5,1e-05,DO,-0.6451578140258789,0.9825620651245117
0.5,5e-05,PD,-0.8126239776611328,-0.6504116058349609
0.5,5e-05,DO,3.7577714920043945,7.493104934692383
0.5,0.0001,PD,7.109599590301514,4.08340311050415
0.5,0.0001,DO,0.7118139266967773,5.075074672698975
1.0,5e-07,PD,0.9225893020629883,0.7290239334106445
1.0,5e-07,DO,0.9073710441589355,0.9628157615661621
1.0,1e-06,PD,1.683671474456787,1.3054041862487793
1.0,1e-06,DO,1.6412649154663086,1.7261195182800293
1.0,5e-06,PD,3.137814998626709,2.062002658843994
1.0,5e-06,DO,1.2732863426208496,2.0509843826293945
1.0,1e-05,PD,2.411961078643799,1.1130599975585938
1.0,1e-05,DO,-0.7338590621948242,0.8828568458557129
1.0,5e-05,PD,5.486162185668945,4.136257648468018
1.0,5e-05,DO,5.851926803588867,9.6046142578125
1.0,0.0001,PD,7.007279872894287,5.546199798583984
1.0,0.0001,DO,-2.585061550140381,4.002549648284912
5.0,5e-07,PD,0.9093518257141113,0.718562126159668
5.0,5e-07,DO,0.8932414054870605,0.9502658843994141
5.0,1e-06,PD,1.657078742980957,1.2865934371948242
5.0,1e-06,DO,1.6166596412658691,1.7059860229492188
5.0,5e-06,PD,3.32454776763916,2.4404501914978027
5.0,5e-06,DO,1.8807082176208496,2.4874463081359863
5.0,1e-05,PD,4.0323381423950195,3.0787181854248047
5.0,1e-05,DO,2.313392162322998,3.0912914276123047
5.0,5e-05,PD,7.204553127288818,6.429179668426514
5.0,5e-05,DO,4.989354133605957,7.802394866943359
5.0,0.0001,PD,4.724325656890869,3.1715497970581055
5.0,0.0001,DO,-2.8879685401916504,-0.03920936584472656
10.0,5e-07,PD,0.9021401405334473,0.7133936882019043
10.0,5e-07,DO,0.8873600959777832,0.9451732635498047
10.0,1e-06,PD,1.583540916442871,1.232731819152832
10.0,1e-06,DO,1.570112705230713,1.6607942581176758
10.0,5e-06,PD,2.839189052581787,2.188352108001709
10.0,5e-06,DO,2.362541675567627,2.8244338035583496
10.0,1e-05,PD,3.6228795051574707,2.9184656143188477
10.0,1e-05,DO,2.818297863006592,3.4514150619506836
10.0,5e-05,PD,6.595024585723877,6.211162090301514
10.0,5e-05,DO,4.4637017250061035,6.800861358642578
10.0,0.0001,PD,3.9287242889404297,3.4998388290405273
10.0,0.0001,DO,-4.719542980194092,-0.6142759323120117
20.0,5e-07,PD,0.8600754737854004,0.6807751655578613
20.0,5e-07,DO,0.8637256622314453,0.9223599433898926
20.0,1e-06,PD,1.307237148284912,1.0290436744689941
20.0,1e-06,DO,1.3709635734558105,1.463052749633789
20.0,5e-06,PD,2.1898598670959473,1.7583065032958984
20.0,5e-06,DO,2.213528633117676,2.532270908355713
20.0,1e-05,PD,3.1376166343688965,2.6345291137695312
20.0,1e-05,DO,2.701272964477539,3.230935573577881
20.0,5e-05,PD,5.909011363983154,5.729091644287109
20.0,5e-05,DO,4.127559185028076,6.152744293212891
20.0,0.0001,PD,3.1985349655151367,2.421204090118408
20.0,0.0001,DO,-5.254377365112305,-0.7512874603271484
50.0,5e-07,PD,0.626584529876709,0.4989500045776367
50.0,5e-07,DO,0.6824078559875488,0.7398724555969238
50.0,1e-06,PD,0.8121628761291504,0.6465344429016113
50.0,1e-06,DO,0.9095635414123535,0.9949812889099121
50.0,5e-06,PD,1.592705249786377,1.334000587463379
50.0,5e-06,DO,1.6259522438049316,1.8292999267578125
50.0,1e-05,PD,2.65948486328125,2.3262481689453125
50.0,1e-05,DO,2.103114604949951,2.529818058013916
50.0,5e-05,PD,5.361705780029297,5.362011432647705
50.0,5e-05,DO,3.8890252113342285,5.703429698944092
50.0,0.0001,PD,2.780360221862793,2.4758753776550293
50.0,0.0001,DO,-4.648440361022949,-0.5980377197265625
