lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.643094539642334,0.45837926864624023
0.1,5e-07,DO,0.4973783493041992,0.6695070266723633
0.1,1e-06,PD,1.2089471817016602,0.839360237121582
0.1,1e-06,DO,0.9772944450378418,1.280256748199463
0.1,5e-06,PD,3.8958940505981445,2.0976901054382324
0.1,5e-06,DO,3.3982014656066895,4.400271892547607
0.1,1e-05,PD,4.894076347351074,1.7442631721496582
0.1,1e-05,DO,4.41933012008667,6.35648250579834
0.1,5e-05,PD,-26.165546417236328,-25.02267837524414
0.1,5e-05,DO,-13.703378677368164,-12.043466567993164
0.1,0.0001,PD,-60.75090408325195,-57.448238372802734
0.1,0.0001,DO,-64.43663787841797,-56.20502471923828
0.5,5e-07,PD,0.6430177688598633,0.4583139419555664
0.5,5e-07,DO,0.49729299545288086,0.6694507598876953
0.5,1e-06,PD,1.208745002746582,0.8391833305358887
0.5,1e-06,DO,0.9770355224609375,1.280076026916504
0.5,5e-06,PD,3.894383430480957,2.0974597930908203
0.5,5e-06,DO,3.395692825317383,4.398419380187988
0.5,1e-05,PD,4.895845890045166,1.747480869293213
0.5,1e-05,DO,4.412269592285156,6.350750923156738
0.5,5e-05,PD,-29.321598052978516,-28.07555389404297
0.5,5e-05,DO,-14.038787841796875,-12.279060363769531
0.5,0.0001,PD,-28.934356689453125,-28.07857894897461
0.5,0.0001,DO,-39.10948181152344,-35.92815399169922
1.0,5e-07,PD,0.6429452896118164,0.4582481384277344
1.0,5e-07,DO,0.4972095489501953,0.6693954467773438
1.0,1e-06,PD,1.2085247039794922,0.8389983177185059
1.0,1e-06,DO,0.9767708778381348,1.279891014099121
1.0,5e-06,PD,3.8934688568115234,2.0970425605773926
1.0,5e-06,DO,3.394012451171875,4.397197723388672
1.0,1e-05,PD,4.900171279907227,1.7536616325378418
1.0,1e-05,DO,4.409723281860352,6.348237037658691
1.0,5e-05,PD,-10.442030906677246,-11.601844787597656
1.0,5e-05,DO,-12.721343040466309,-10.943525314331055
1.0,0.0001,PD,0.7987256050109863,-1.7186226844787598
1.0,0.0001,DO,-32.047645568847656,-28.523460388183594
5.0,5e-07,PD,0.642549991607666,0.4578886032104492
5.0,5e-07,DO,0.49680519104003906,0.6691460609436035
5.0,1e-06,PD,1.2075037956237793,0.8381214141845703
5.0,1e-06,DO,0.9757590293884277,1.2792110443115234
5.0,5e-06,PD,3.885112762451172,2.116448402404785
5.0,5e-06,DO,3.386326789855957,4.387939929962158
5.0,1e-05,PD,4.934300422668457,2.101661205291748
5.0,1e-05,DO,4.403689384460449,6.257153034210205
5.0,5e-05,PD,6.104780673980713,2.3178563117980957
5.0,5e-05,DO,2.5429019927978516,5.599968433380127
5.0,0.0001,PD,9.992938995361328,6.653307914733887
5.0,0.0001,DO,3.560671329498291,7.01591157913208
10.0,5e-07,PD,0.6422610282897949,0.4576249122619629
10.0,5e-07,DO,0.49648189544677734,0.6689157485961914
10.0,1e-06,PD,1.2070398330688477,0.837742805480957
10.0,1e-06,DO,0.9749960899353027,1.2786297798156738
10.0,5e-06,PD,3.759434223175049,2.1422290802001953
10.0,5e-06,DO,3.319180965423584,4.295723915100098
10.0,1e-05,PD,4.76372766494751,2.4628262519836426
10.0,1e-05,DO,4.230869293212891,5.837796211242676
10.0,5e-05,PD,7.493242263793945,4.256076335906982
10.0,5e-05,DO,4.677151679992676,8.199188232421875
10.0,0.0001,PD,9.5177001953125,6.616018772125244
10.0,0.0001,DO,4.996170997619629,7.9971513748168945
20.0,5e-07,PD,0.6419925689697266,0.45737457275390625
20.0,5e-07,DO,0.49605464935302734,0.6685762405395508
20.0,1e-06,PD,1.2040438652038574,0.8361930847167969
20.0,1e-06,DO,0.9739899635314941,1.277679443359375
20.0,5e-06,PD,3.380134105682373,2.10347843170166
20.0,5e-06,DO,3.036285400390625,3.9131903648376465
20.0,1e-05,PD,4.348400115966797,2.6314773559570312
20.0,1e-05,DO,3.8419461250305176,5.111726760864258
20.0,5e-05,PD,7.171111106872559,4.710872650146484
20.0,5e-05,DO,5.6611738204956055,8.618471145629883
20.0,0.0001,PD,8.717632293701172,6.156720161437988
20.0,0.0001,DO,4.8231658935546875,7.606637477874756
50.0,5e-07,PD,0.6372442245483398,0.45421695709228516
50.0,5e-07,DO,0.4950752258300781,0.6675872802734375
50.0,1e-06,PD,1.1232070922851562,0.7861995697021484
50.0,1e-06,DO,0.9507608413696289,1.2525672912597656
50.0,5e-06,PD,2.64302396774292,1.8202333450317383
50.0,5e-06,DO,2.4006056785583496,3.0653557777404785
50.0,1e-05,PD,3.654447555541992,2.533975124359131
50.0,1e-05,DO,3.163052558898926,4.015052318572998
50.0,5e-05,PD,6.64025354385376,4.996134281158447
50.0,5e-05,DO,5.235476016998291,7.619298934936523
50.0,0.0001,PD,7.821697235107422,5.5732316970825195
50.0,0.0001,DO,4.233158588409424,6.5985589027404785
