lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.6427693367004395,0.4579472541809082
0.1,5e-07,DO,0.4969143867492676,0.669093132019043
0.1,1e-06,PD,1.207596778869629,0.8378381729125977
0.1,1e-06,DO,0.975928783416748,1.2790298461914062
0.1,5e-06,PD,3.8900504112243652,2.0911874771118164
0.1,5e-06,DO,3.382509231567383,4.387119293212891
0.1,1e-05,PD,4.902546405792236,1.7515363693237305
0.1,1e-05,DO,4.385122776031494,6.333645820617676
0.1,5e-05,PD,-12.451826095581055,-13.074318885803223
0.1,5e-05,DO,-10.676555633544922,-9.41436767578125
0.1,0.0001,PD,-29.21234703063965,-29.830894470214844
0.1,0.0001,DO,-35.88854217529297,-31.393230438232422
0.5,5e-07,PD,0.6414875984191895,0.45666074752807617
0.5,5e-07,DO,0.495908260345459,0.6681962013244629
0.5,1e-06,PD,1.2043218612670898,0.8348355293273926
0.5,1e-06,DO,0.9727230072021484,1.2761311531066895
0.5,5e-06,PD,3.8781533241271973,2.0887222290039062
0.5,5e-06,DO,3.364227771759033,4.3741960525512695
0.5,1e-05,PD,4.917384624481201,1.8628363609313965
0.5,1e-05,DO,4.360866546630859,6.308456897735596
0.5,5e-05,PD,1.1289243698120117,-1.8530616760253906
0.5,5e-05,DO,-0.060846805572509766,3.0024595260620117
0.5,0.0001,PD,4.533227920532227,2.766542911529541
0.5,0.0001,DO,-1.5246338844299316,2.8197860717773438
1.0,5e-07,PD,0.6405849456787109,0.4558420181274414
1.0,5e-07,DO,0.4949507713317871,0.6673312187194824
1.0,1e-06,PD,1.2026734352111816,0.8336124420166016
1.0,1e-06,DO,0.9703054428100586,1.2738633155822754
1.0,5e-06,PD,3.841951370239258,2.0974721908569336
1.0,5e-06,DO,3.3533501625061035,4.363051414489746
1.0,1e-05,PD,4.900223731994629,2.2168211936950684
1.0,1e-05,DO,4.296554088592529,6.130017280578613
1.0,5e-05,PD,7.411078929901123,4.418415546417236
1.0,5e-05,DO,2.4852967262268066,6.499795913696289
1.0,0.0001,PD,7.5670013427734375,5.587337970733643
1.0,0.0001,DO,2.9988646507263184,6.795849800109863
5.0,5e-07,PD,0.6373991966247559,0.4534721374511719
5.0,5e-07,DO,0.4913949966430664,0.6639308929443359
5.0,1e-06,PD,1.1839485168457031,0.822761058807373
5.0,1e-06,DO,0.9619784355163574,1.265824794769287
5.0,5e-06,PD,2.859395980834961,1.8346819877624512
5.0,5e-06,DO,2.690359115600586,3.5029406547546387
5.0,1e-05,PD,3.7263832092285156,2.3757543563842773
5.0,1e-05,DO,3.2389121055603027,4.512867450714111
5.0,5e-05,PD,8.763545989990234,7.6742987632751465
5.0,5e-05,DO,4.86735200881958,8.351288795471191
5.0,0.0001,PD,6.821107864379883,5.551120281219482
5.0,0.0001,DO,4.127377033233643,8.45257568359375
10.0,5e-07,PD,0.6292881965637207,0.448331356048584
10.0,5e-07,DO,0.4888887405395508,0.6614665985107422
10.0,1e-06,PD,1.0774049758911133,0.7554049491882324
10.0,1e-06,DO,0.9369511604309082,1.2367920875549316
10.0,5e-06,PD,2.2169852256774902,1.5188140869140625
10.0,5e-06,DO,2.0467891693115234,2.750324249267578
10.0,1e-05,PD,3.075338363647461,2.13638973236084
10.0,1e-05,DO,2.561692237854004,3.6427693367004395
10.0,5e-05,PD,7.983551025390625,7.39752721786499
10.0,5e-05,DO,4.358248710632324,7.527979850769043
10.0,0.0001,PD,5.998624801635742,5.263674736022949
10.0,0.0001,DO,3.470791816711426,7.614447593688965
20.0,5e-07,PD,0.5707330703735352,0.4081249237060547
20.0,5e-07,DO,0.477935791015625,0.6481285095214844
20.0,1e-06,PD,0.8605461120605469,0.612177848815918
20.0,1e-06,DO,0.8141880035400391,1.0893735885620117
20.0,5e-06,PD,1.691704273223877,1.218644142150879
20.0,5e-06,DO,1.4831457138061523,2.08510160446167
20.0,1e-05,PD,2.6292028427124023,1.9095711708068848
20.0,1e-05,DO,2.078951835632324,2.975991725921631
20.0,5e-05,PD,7.355851650238037,7.031566143035889
20.0,5e-05,DO,3.9034175872802734,6.808245658874512
20.0,0.0001,PD,5.24135160446167,4.759215831756592
20.0,0.0001,DO,3.00272274017334,6.878827095031738
50.0,5e-07,PD,0.41028642654418945,0.29632091522216797
50.0,5e-07,DO,0.3896031379699707,0.5358066558837891
50.0,1e-06,PD,0.5612578392028809,0.4044513702392578
50.0,1e-06,DO,0.5499768257141113,0.7607536315917969
50.0,5e-06,PD,1.2386798858642578,0.9343829154968262
50.0,5e-06,DO,0.9943556785583496,1.4777460098266602
50.0,1e-05,PD,2.1649293899536133,1.6527295112609863
50.0,1e-05,DO,1.718276023864746,2.3429479598999023
50.0,5e-05,PD,6.825884819030762,6.697945594787598
50.0,5e-05,DO,3.275876522064209,5.832268714904785
50.0,0.0001,PD,4.672211170196533,4.439921855926514
50.0,0.0001,DO,2.6688547134399414,6.2874040603637695
