lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.6429266929626465,0.4583139419555664
0.1,5e-07,DO,0.497373104095459,0.669501781463623
0.1,1e-06,PD,1.2085356712341309,0.839144229888916
0.1,1e-06,DO,0.9772682189941406,1.280226230621338
0.1,5e-06,PD,3.888113021850586,2.0906848907470703
0.1,5e-06,DO,3.396331787109375,4.39839506149292
0.1,1e-05,PD,4.869903087615967,1.7209224700927734
0.1,1e-05,DO,4.410524368286133,6.347123622894287
0.1,5e-05,PD,-26.124919891357422,-25.055191040039062
0.1,5e-05,DO,-13.364002227783203,-11.897420883178711
0.1,0.0001,PD,-60.24587631225586,-56.95695495605469
0.1,0.0001,DO,-62.903541564941406,-56.06105041503906
0.5,5e-07,PD,0.6427431106567383,0.4581131935119629
0.5,5e-07,DO,0.49726152420043945,0.6694154739379883
0.5,1e-06,PD,1.2077140808105469,0.8383097648620605
0.5,1e-06,DO,0.9768290519714355,1.2798752784729004
0.5,5e-06,PD,3.8733773231506348,2.0776500701904297
0.5,5e-06,DO,3.386922836303711,4.389211654663086
0.5,1e-05,PD,4.859609603881836,1.7113966941833496
0.5,1e-05,DO,4.391562461853027,6.326432228088379
0.5,5e-05,PD,-28.202693939208984,-26.846057891845703
0.5,5e-05,DO,-13.410932540893555,-11.933866500854492
0.5,0.0001,PD,-17.47148895263672,-17.524173736572266
0.5,0.0001,DO,-38.377685546875,-34.1139030456543
1.0,5e-07,PD,0.6425027847290039,0.4578533172607422
1.0,5e-07,DO,0.49710512161254883,0.6693000793457031
1.0,1e-06,PD,1.20670747756958,0.837313175201416
1.0,1e-06,DO,0.9762611389160156,1.2794084548950195
1.0,5e-06,PD,3.8698344230651855,2.0747809410095215
1.0,5e-06,DO,3.3818955421447754,4.384068012237549
1.0,1e-05,PD,4.863875389099121,1.7154817581176758
1.0,1e-05,DO,4.397876262664795,6.330461025238037
1.0,5e-05,PD,-8.047771453857422,-9.721771240234375
1.0,5e-05,DO,-10.987922668457031,-9.826847076416016
1.0,0.0001,PD,-2.6947455406188965,-4.338257789611816
1.0,0.0001,DO,-12.074604988098145,-9.399433135986328
5.0,5e-07,PD,0.641045093536377,0.4564027786254883
5.0,5e-07,DO,0.4960651397705078,0.6684412956237793
5.0,1e-06,PD,1.2032947540283203,0.8339924812316895
5.0,1e-06,DO,0.9734249114990234,1.2770018577575684
5.0,5e-06,PD,3.8702683448791504,2.077220916748047
5.0,5e-06,DO,3.383193016052246,4.383492946624756
5.0,1e-05,PD,4.8480634689331055,1.7748527526855469
5.0,1e-05,DO,4.400760650634766,6.323063373565674
5.0,5e-05,PD,7.97279691696167,5.542250633239746
5.0,5e-05,DO,2.632540702819824,6.534059047698975
5.0,0.0001,PD,7.9338274002075195,5.39189338684082
5.0,0.0001,DO,3.182750701904297,6.896018028259277
10.0,5e-07,PD,0.6404070854187012,0.4557361602783203
10.0,5e-07,DO,0.4953165054321289,0.6678228378295898
10.0,1e-06,PD,1.2031173706054688,0.8337540626525879
10.0,1e-06,DO,0.9724373817443848,1.2761859893798828
10.0,5e-06,PD,3.8409085273742676,2.0810461044311523
10.0,5e-06,DO,3.3788981437683105,4.377959251403809
10.0,1e-05,PD,4.787617206573486,2.1612348556518555
10.0,1e-05,DO,4.362907886505127,6.219890117645264
10.0,5e-05,PD,8.066964149475098,6.851287364959717
10.0,5e-05,DO,3.548919200897217,7.548572540283203
10.0,0.0001,PD,6.963894844055176,5.025820732116699
10.0,0.0001,DO,3.8409461975097656,7.275264739990234
20.0,5e-07,PD,0.6402425765991211,0.4555325508117676
20.0,5e-07,DO,0.4947662353515625,0.6673693656921387
20.0,1e-06,PD,1.2020330429077148,0.8328628540039062
20.0,1e-06,DO,0.972172737121582,1.2760004997253418
20.0,5e-06,PD,3.604719638824463,2.078066349029541
20.0,5e-06,DO,3.3183178901672363,4.296457767486572
20.0,1e-05,PD,4.472970485687256,2.544752597808838
20.0,1e-05,DO,4.103448867797852,5.696394443511963
20.0,5e-05,PD,7.0103302001953125,6.5730204582214355
20.0,5e-05,DO,3.7189130783081055,7.131977081298828
20.0,0.0001,PD,5.40692663192749,4.183084011077881
20.0,0.0001,DO,2.7580208778381348,5.995867729187012
50.0,5e-07,PD,0.639136791229248,0.45467519760131836
50.0,5e-07,DO,0.49446630477905273,0.6671075820922852
50.0,1e-06,PD,1.1887812614440918,0.8250546455383301
50.0,1e-06,DO,0.9703059196472168,1.2740559577941895
50.0,5e-06,PD,2.8773765563964844,1.8827743530273438
50.0,5e-06,DO,2.8241019248962402,3.640120506286621
50.0,1e-05,PD,3.539703845977783,2.522146701812744
50.0,1e-05,DO,3.4286813735961914,4.603137493133545
50.0,5e-05,PD,5.407375335693359,5.592563152313232
50.0,5e-05,DO,3.156491756439209,5.968660354614258
50.0,0.0001,PD,3.909909725189209,3.2740750312805176
50.0,0.0001,DO,1.2716083526611328,4.157946586608887
