lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.6429152488708496,0.4583244323730469
0.1,5e-07,DO,0.497525691986084,0.6695680618286133
0.1,1e-06,PD,1.208425521850586,0.8391737937927246
0.1,1e-06,DO,0.977485179901123,1.280306339263916
0.1,5e-06,PD,3.8848438262939453,2.091127395629883
0.1,5e-06,DO,3.394681930541992,4.3981852531433105
0.1,1e-05,PD,4.862975597381592,1.7228612899780273
0.1,1e-05,DO,4.407888889312744,6.3484320640563965
0.1,5e-05,PD,-31.41455078125,-29.880191802978516
0.1,5e-05,DO,-13.876453399658203,-12.423548698425293
0.1,0.0001,PD,-58.027278900146484,-53.78028106689453
0.1,0.0001,DO,-61.54804611206055,-55.18162536621094
0.5,5e-07,PD,0.6425871849060059,0.45814943313598633
0.5,5e-07,DO,0.49730587005615234,0.6694369316101074
0.5,1e-06,PD,1.2070903778076172,0.8385405540466309
0.5,1e-06,DO,0.976677417755127,1.27980375289917
0.5,5e-06,PD,3.8640403747558594,2.0797762870788574
0.5,5e-06,DO,3.3809518814086914,4.388541221618652
0.5,1e-05,PD,4.851186752319336,1.7131767272949219
0.5,1e-05,DO,4.3847527503967285,6.326935291290283
0.5,5e-05,PD,-20.217514038085938,-20.268646240234375
0.5,5e-05,DO,-13.72818374633789,-12.311402320861816
0.5,0.0001,PD,-20.514938354492188,-21.93109130859375
0.5,0.0001,DO,-35.42595672607422,-31.406827926635742
1.0,5e-07,PD,0.6422076225280762,0.457944393157959
1.0,5e-07,DO,0.4970426559448242,0.669278621673584
1.0,1e-06,PD,1.205735206604004,0.8378729820251465
1.0,1e-06,DO,0.9757213592529297,1.279184341430664
1.0,5e-06,PD,3.8598551750183105,2.0772757530212402
1.0,5e-06,DO,3.3747973442077637,4.383387088775635
1.0,1e-05,PD,4.857503414154053,1.7157950401306152
1.0,1e-05,DO,4.385129451751709,6.325094699859619
1.0,5e-05,PD,-11.59383487701416,-13.697737693786621
1.0,5e-05,DO,-10.363566398620605,-9.256736755371094
1.0,0.0001,PD,-3.2360191345214844,-5.16809606552124
1.0,0.0001,DO,-8.118536949157715,-3.5274925231933594
5.0,5e-07,PD,0.6403155326843262,0.45702028274536133
5.0,5e-07,DO,0.49547624588012695,0.6682515144348145
5.0,1e-06,PD,1.2017178535461426,0.8359894752502441
5.0,1e-06,DO,0.9720234870910645,1.2766666412353516
5.0,5e-06,PD,3.8584723472595215,2.082937717437744
5.0,5e-06,DO,3.371973991394043,4.379460334777832
5.0,1e-05,PD,4.8521647453308105,1.9213981628417969
5.0,1e-05,DO,4.378079891204834,6.2971415519714355
5.0,5e-05,PD,8.316532135009766,5.9800496101379395
5.0,5e-05,DO,5.748812198638916,8.632137298583984
5.0,0.0001,PD,8.705615043640137,6.7441020011901855
5.0,0.0001,DO,4.103114604949951,6.924734592437744
10.0,5e-07,PD,0.6396369934082031,0.45667076110839844
10.0,5e-07,DO,0.49465417861938477,0.6677002906799316
10.0,1e-06,PD,1.2012848854064941,0.8357944488525391
10.0,1e-06,DO,0.9714727401733398,1.276282787322998
10.0,5e-06,PD,3.7624807357788086,2.0973567962646484
10.0,5e-06,DO,3.350633144378662,4.352202892303467
10.0,1e-05,PD,4.7720866203308105,2.439948558807373
10.0,1e-05,DO,4.2789835929870605,6.015070915222168
10.0,5e-05,PD,8.838457107543945,7.689051628112793
10.0,5e-05,DO,6.494556427001953,9.198713302612305
10.0,0.0001,PD,8.860397338867188,7.212096214294434
10.0,0.0001,DO,5.588154315948486,8.010854721069336
20.0,5e-07,PD,0.6393370628356934,0.45652055740356445
20.0,5e-07,DO,0.4943218231201172,0.667452335357666
20.0,1e-06,PD,1.1992263793945312,0.8348832130432129
20.0,1e-06,DO,0.9706649780273438,1.2756175994873047
20.0,5e-06,PD,3.347451686859131,2.044699192047119
20.0,5e-06,DO,3.1401572227478027,4.074716567993164
20.0,1e-05,PD,4.261287212371826,2.749295234680176
20.0,1e-05,DO,3.9738149642944336,5.346482276916504
20.0,5e-05,PD,8.112916946411133,7.873227596282959
20.0,5e-05,DO,6.064962863922119,8.367692947387695
20.0,0.0001,PD,8.13764762878418,6.972290992736816
20.0,0.0001,DO,5.768143177032471,7.949724197387695
50.0,5e-07,PD,0.6370224952697754,0.45527124404907227
50.0,5e-07,DO,0.4936199188232422,0.6668128967285156
50.0,1e-06,PD,1.150646686553955,0.8073344230651855
50.0,1e-06,DO,0.9645195007324219,1.2692246437072754
50.0,5e-06,PD,2.445366382598877,1.6996617317199707
50.0,5e-06,DO,2.4940433502197266,3.204676628112793
50.0,1e-05,PD,3.2345223426818848,2.4873733520507812
50.0,1e-05,DO,3.2063021659851074,4.1407389640808105
50.0,5e-05,PD,7.189656734466553,7.566295623779297
50.0,5e-05,DO,5.555729866027832,7.442831516265869
50.0,0.0001,PD,7.282921314239502,6.528717041015625
50.0,0.0001,DO,5.446996688842773,7.240522384643555
