lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.6430988311767578,0.45843029022216797
0.1,5e-07,DO,0.4974355697631836,0.6695618629455566
0.1,1e-06,PD,1.2090024948120117,0.8395090103149414
0.1,1e-06,DO,0.9774422645568848,1.2803864479064941
0.1,5e-06,PD,3.896054744720459,2.097477436065674
0.1,5e-06,DO,3.3991003036499023,4.401067733764648
0.1,1e-05,PD,4.8931169509887695,1.7414908409118652
0.1,1e-05,DO,4.42172908782959,6.3586578369140625
0.1,5e-05,PD,-25.254791259765625,-24.605649948120117
0.1,5e-05,DO,-14.112523078918457,-12.289772033691406
0.1,0.0001,PD,-64.86024475097656,-60.848358154296875
0.1,0.0001,DO,-64.3372573852539,-56.3941764831543
0.5,5e-07,PD,0.6430726051330566,0.45841169357299805
0.5,5e-07,DO,0.4974074363708496,0.6695475578308105
0.5,1e-06,PD,1.2089357376098633,0.8394427299499512
0.5,1e-06,DO,0.9773678779602051,1.2803516387939453
0.5,5e-06,PD,3.8958821296691895,2.0977063179016113
0.5,5e-06,DO,3.3982720375061035,4.400563716888428
0.5,1e-05,PD,4.8929290771484375,1.7446985244750977
0.5,1e-05,DO,4.418398380279541,6.355856895446777
0.5,5e-05,PD,-27.730762481689453,-26.82278823852539
0.5,5e-05,DO,-14.446595191955566,-12.497865676879883
0.5,0.0001,PD,-66.78044128417969,-62.48246383666992
0.5,0.0001,DO,-70.40895080566406,-60.94691467285156
1.0,5e-07,PD,0.6430602073669434,0.45839834213256836
1.0,5e-07,DO,0.49738454818725586,0.6695346832275391
1.0,1e-06,PD,1.208890438079834,0.8393998146057129
1.0,1e-06,DO,0.977287769317627,1.2803153991699219
1.0,5e-06,PD,3.8958163261413574,2.0980277061462402
1.0,5e-06,DO,3.3974814414978027,4.400014877319336
1.0,1e-05,PD,4.8925275802612305,1.7463693618774414
1.0,1e-05,DO,4.415973663330078,6.353562831878662
1.0,5e-05,PD,-27.26422119140625,-26.386486053466797
1.0,5e-05,DO,-14.494329452514648,-12.534526824951172
1.0,0.0001,PD,-31.24477767944336,-30.96002960205078
1.0,0.0001,DO,-56.17652893066406,-50.01806640625
5.0,5e-07,PD,0.6429581642150879,0.4582939147949219
5.0,5e-07,DO,0.4972043037414551,0.6694364547729492
5.0,1e-06,PD,1.208662986755371,0.8391671180725098
5.0,1e-06,DO,0.976832389831543,1.2800922393798828
5.0,5e-06,PD,3.896148204803467,2.0989880561828613
5.0,5e-06,DO,3.3958640098571777,4.398375034332275
5.0,1e-05,PD,4.890934944152832,1.7464065551757812
5.0,1e-05,DO,4.4156575202941895,6.351047039031982
5.0,5e-05,PD,-5.2766923904418945,-8.603168487548828
5.0,5e-05,DO,-11.00458812713623,-9.413934707641602
5.0,0.0001,PD,10.557186126708984,6.6298089027404785
5.0,0.0001,DO,5.103003978729248,8.64635181427002
10.0,5e-07,PD,0.6428804397583008,0.4582095146179199
10.0,5e-07,DO,0.49707603454589844,0.6693830490112305
10.0,1e-06,PD,1.2086067199707031,0.8391189575195312
10.0,1e-06,DO,0.9765458106994629,1.2799673080444336
10.0,5e-06,PD,3.8962574005126953,2.09920597076416
10.0,5e-06,DO,3.395684242248535,4.397698879241943
10.0,1e-05,PD,4.891691207885742,1.7554278373718262
10.0,1e-05,DO,4.41380500793457,6.3471150398254395
10.0,5e-05,PD,5.295477867126465,1.13323974609375
10.0,5e-05,DO,-1.018993854522705,1.4989891052246094
10.0,0.0001,PD,10.230520248413086,6.854763507843018
10.0,0.0001,DO,5.457876205444336,9.11320686340332
20.0,5e-07,PD,0.6428337097167969,0.45815181732177734
20.0,5e-07,DO,0.49688196182250977,0.6692843437194824
20.0,1e-06,PD,1.208641529083252,0.8391485214233398
20.0,1e-06,DO,0.9762282371520996,1.2797675132751465
20.0,5e-06,PD,3.8948678970336914,2.1016335487365723
20.0,5e-06,DO,3.3934884071350098,4.395054817199707
20.0,1e-05,PD,4.896652698516846,1.8713059425354004
20.0,1e-05,DO,4.404796600341797,6.316840648651123
20.0,5e-05,PD,7.632128715515137,4.590901851654053
20.0,5e-05,DO,2.273159980773926,5.825136661529541
20.0,0.0001,PD,9.37912368774414,6.454322338104248
20.0,0.0001,DO,4.925703048706055,8.580121994018555
50.0,5e-07,PD,0.6428170204162598,0.4581313133239746
50.0,5e-07,DO,0.4966106414794922,0.6691112518310547
50.0,1e-06,PD,1.2085447311401367,0.8390183448791504
50.0,1e-06,DO,0.9757809638977051,1.279353141784668
50.0,5e-06,PD,3.798098564147949,2.1218905448913574
50.0,5e-06,DO,3.352487564086914,4.340401649475098
50.0,1e-05,PD,4.71657133102417,2.2990756034851074
50.0,1e-05,DO,4.247128486633301,5.939472675323486
50.0,5e-05,PD,7.705394744873047,5.662705898284912
50.0,5e-05,DO,4.2862982749938965,7.695220947265625
50.0,0.0001,PD,8.247873306274414,5.6752729415893555
50.0,0.0001,DO,3.9837541580200195,7.223531246185303
