lambda,lr,prime_structure,PD,DO
0.1,5e-07,PD,0.6429367065429688,0.45831823348999023
0.1,5e-07,DO,0.49738264083862305,0.6695346832275391
0.1,1e-06,PD,1.2085866928100586,0.8392243385314941
0.1,1e-06,DO,0.9772486686706543,1.280259609222412
0.1,5e-06,PD,3.8968148231506348,2.1020145416259766
0.1,5e-06,DO,3.3936848640441895,4.397597312927246
0.1,1e-05,PD,4.911954402923584,1.780069351196289
0.1,1e-05,DO,4.399283409118652,6.340793132781982
0.1,5e-05,PD,-15.185495376586914,-16.32547378540039
0.1,5e-05,DO,-11.185822486877441,-9.485353469848633
0.1,0.0001,PD,-24.78342628479004,-26.251895904541016
0.1,0.0001,DO,-42.314666748046875,-37.346622467041016
0.5,5e-07,PD,0.6427221298217773,0.45815420150756836
0.5,5e-07,DO,0.4971308708190918,0.6693167686462402
0.5,1e-06,PD,1.207939624786377,0.8388247489929199
0.5,1e-06,DO,0.9764370918273926,1.2795400619506836
0.5,5e-06,PD,3.900850772857666,2.1115994453430176
0.5,5e-06,DO,3.378506660461426,4.386844158172607
0.5,1e-05,PD,4.9255266189575195,1.8113813400268555
0.5,1e-05,DO,4.375091552734375,6.317050457000732
0.5,5e-05,PD,0.05264568328857422,-2.7949862480163574
0.5,5e-05,DO,-6.636952877044678,-5.047296047210693
0.5,0.0001,PD,6.799154758453369,5.317781925201416
0.5,0.0001,DO,-0.662992000579834,2.055379867553711
1.0,5e-07,PD,0.6424932479858398,0.45798683166503906
1.0,5e-07,DO,0.4968605041503906,0.6690735816955566
1.0,1e-06,PD,1.2072510719299316,0.8384280204772949
1.0,1e-06,DO,0.9754981994628906,1.2786951065063477
1.0,5e-06,PD,3.90203857421875,2.114182472229004
1.0,5e-06,DO,3.3708691596984863,4.381279468536377
1.0,1e-05,PD,4.923673629760742,1.819929599761963
1.0,1e-05,DO,4.384824752807617,6.324933052062988
1.0,5e-05,PD,6.089216709136963,3.384840965270996
1.0,5e-05,DO,0.7621846199035645,4.510595321655273
1.0,0.0001,PD,8.805874824523926,6.7739362716674805
1.0,0.0001,DO,3.7700295448303223,6.630534648895264
5.0,5e-07,PD,0.6411190032958984,0.45680999755859375
5.0,5e-07,DO,0.4950861930847168,0.6675419807434082
5.0,1e-06,PD,1.2039828300476074,0.8359479904174805
5.0,1e-06,DO,0.9705486297607422,1.274583339691162
5.0,5e-06,PD,3.76904296875,2.145354747772217
5.0,5e-06,DO,3.3653979301452637,4.367557048797607
5.0,1e-05,PD,4.695520877838135,2.5931849479675293
5.0,1e-05,DO,4.272193908691406,5.968708515167236
5.0,5e-05,PD,8.08917236328125,7.035430908203125
5.0,5e-05,DO,4.638979434967041,8.00650405883789
5.0,0.0001,PD,7.819864749908447,6.421156406402588
5.0,0.0001,DO,5.330742359161377,8.537609100341797
10.0,5e-07,PD,0.6400942802429199,0.45590639114379883
10.0,5e-07,DO,0.4935951232910156,0.6663146018981934
10.0,1e-06,PD,1.2019891738891602,0.8345942497253418
10.0,1e-06,DO,0.9683017730712891,1.2726449966430664
10.0,5e-06,PD,3.277956008911133,2.0564770698547363
10.0,5e-06,DO,3.159836769104004,4.080845355987549
10.0,1e-05,PD,4.158968448638916,2.6869940757751465
10.0,1e-05,DO,3.7398672103881836,5.114814758300781
10.0,5e-05,PD,7.428289413452148,6.756067752838135
10.0,5e-05,DO,4.794468879699707,7.5019707679748535
10.0,0.0001,PD,7.158387184143066,6.063108444213867
10.0,0.0001,DO,4.801755428314209,7.779592990875244
20.0,5e-07,PD,0.6388030052185059,0.45496320724487305
20.0,5e-07,DO,0.4922018051147461,0.6651091575622559
20.0,1e-06,PD,1.1736674308776855,0.8179726600646973
20.0,1e-06,DO,0.9660053253173828,1.2703595161437988
20.0,5e-06,PD,2.618803024291992,1.7745509147644043
20.0,5e-06,DO,2.603485107421875,3.365633487701416
20.0,1e-05,PD,3.4870553016662598,2.508516788482666
20.0,1e-05,DO,3.085537910461426,4.168339729309082
20.0,5e-05,PD,6.74744987487793,6.396263599395752
20.0,5e-05,DO,4.330809116363525,6.713654518127441
20.0,0.0001,PD,6.701549053192139,5.80621337890625
20.0,0.0001,DO,4.345456123352051,7.077329635620117
50.0,5e-07,PD,0.6022276878356934,0.43032217025756836
50.0,5e-07,DO,0.48989009857177734,0.6626014709472656
50.0,1e-06,PD,0.9215927124023438,0.6539759635925293
50.0,1e-06,DO,0.9134793281555176,1.2090182304382324
50.0,5e-06,PD,1.848505973815918,1.3434462547302246
50.0,5e-06,DO,1.8033976554870605,2.37532901763916
50.0,1e-05,PD,2.7694129943847656,2.1770691871643066
50.0,1e-05,DO,2.3353142738342285,3.136162281036377
50.0,5e-05,PD,6.158763885498047,6.051105976104736
50.0,5e-05,DO,4.286411285400391,6.096339225769043
50.0,0.0001,PD,6.369720935821533,5.614058971405029
50.0,0.0001,DO,3.982663154602051,6.491790771484375
