size,pronoun,squared,target_verb,PD-PD_slope,PD-PD_intercept,DO-PD_slope,DO-PD_intercept,PD-PD_R2,PD-PD_RMSE,DO-PD_R2,DO-PD_RMSE
small,True,True,BRING,-0.16458412456568125,0.49743684952662004,-0.0807557946962656,0.23661979799444757,0.17318099440816248,0.079338348482312,0.4365622940128503,0.02024014598511579
small,True,True,DRAW,0.18202828650575836,0.5562586319883709,-0.21535081759101368,0.3518400865420727,0.13747913505135467,0.10065297473223044,0.42001407632919874,0.055865623895612955
small,True,True,FIND,0.23257531153892058,0.5024869472361948,-0.14770186682210298,0.2666859905932646,0.18424132348665734,0.10809113040962397,0.3627155962533486,0.043242284853010265
small,True,True,GET,0.1949174998279737,0.22956248409742924,-0.012440329207757473,0.10203410571925273,0.14369059778607385,0.10410454525409757,0.09626424446445891,0.008339457145177705
small,True,True,GIVE,-0.09878846858062607,0.14953726884227123,-0.0011285484926220792,0.03078488301969693,0.20485783224398024,0.041280697386137544,0.001032416335444819,0.007445830666593591
small,True,True,KEEP,0.04844514001487001,0.7466448220063266,-0.1537944689730806,0.5502729228510459,0.041209530931724414,0.04857635084043244,0.31015263777331614,0.047680536557753395
small,True,True,LEAVE,0.14872600911120826,0.30517603032352675,-0.043512791896143606,0.11655250423382987,0.08672517810615421,0.10594397538493197,0.23385582693231943,0.017288579127891328
small,True,True,MAKE,0.11176005299704937,0.5544630013716378,-0.18749155993954636,0.3674082420605109,0.08783196454755926,0.07919099305743782,0.3959205488554334,0.050921688515979883
small,True,True,PURCHASE,0.04986208569681291,0.8084430437460928,-0.11180889676314557,0.5917933667668371,0.037935108346840773,0.053987738184943276,0.21002942390791168,0.046621358356454444
small,True,True,SAVE,0.08312555237772182,0.7113493675490387,-0.21117048635838603,0.42272295381061376,0.045410833640158854,0.08168896058170137,0.45769863243047204,0.04926790270804489
small,True,True,SELL,-0.26098078418053927,0.4185694343677971,-0.03356940217998671,0.12367620665782922,0.25172273538448964,0.09718767633120035,0.14197226572489152,0.01782481892235278
small,True,True,SEND,-0.1891576541152225,0.3258695420621368,-0.012628805237077611,0.0782934402995305,0.2066457485472898,0.08088999143820433,0.049778346290471065,0.012042177530247939
small,True,True,SHOW,-0.11240036385320763,0.12268490325134143,-0.0027282096160255,0.01624387061600892,0.30566109911959294,0.035908589647196794,0.020977176301250844,0.003950623081958233
small,True,True,SUPPLY,-0.30905234911896035,0.6625682226471856,-0.039379761048135835,0.24882759531010906,0.3141791136025578,0.10083833600396837,0.06320059604498574,0.03348210201188923
small,True,True,DESIGN,0.05106605358149926,0.886484579570158,-0.1604446168442214,0.7837553923936347,0.07220393878320175,0.03644762019545019,0.4791477474855096,0.03330724879057353
small,True,True,TAKE,-0.1486480564692291,0.8560813817333854,-0.26571423538886785,0.5579061772369375,0.35017033705285683,0.03986778493788193,0.36321587356593643,0.06926778639965457
small,True,True,FEED,-0.22160927693340055,0.2805248860684332,0.002344943720303986,0.026785198315125807,0.22773615035037686,0.08674502387055842,0.007260733096927652,0.005828402780710797
small,True,True,BUY,0.16332614729269926,0.42749613915284135,-0.08993400483622774,0.17528616551693899,0.13197290750696744,0.09245825677861817,0.336738288165665,0.02786030603633509
small,True,True,CATCH,0.14002523070415318,0.5740791464332358,-0.202063196521227,0.37044658774869194,0.0823371793569474,0.10277943165614478,0.4974649493780722,0.04465247069655534
small,True,True,DELIVER,0.21927094850902942,0.32447559827950645,-0.033141074844428256,0.1380703470016525,0.13528098591342763,0.12193329323502529,0.12239003056252606,0.019519398287225223
small,True,True,THROW,-0.1669407449906132,0.47608524943362945,-0.04444466758361629,0.2176993359871074,0.18160412904756273,0.07824533582222906,0.24247259189560155,0.017344619079388206
small,True,True,PROMISE,-0.0872085955163901,0.0944306104241448,0.00558827049139183,0.012263831713773156,0.2862478503839424,0.029378792032668938,0.09586143896139943,0.0036613815472219063
small,True,False,BRING,-0.12172815841616327,0.4499148054910986,-0.05010352238466629,0.2236286957166456,0.12674119517754256,0.07049263463085316,0.3421863973332764,0.015325985706298374
small,True,False,DRAW,0.15981746476289693,0.5253701570392071,-0.18615527430039241,0.3272081720942152,0.13250337695547088,0.09027468558738516,0.4017236668553439,0.05015149369704206
small,True,False,FIND,0.21356294335425577,0.47410671632708473,-0.13504515608353415,0.2587892642444071,0.18397159893560333,0.09934414175353946,0.35423406190134743,0.04027268055820755
small,True,False,GET,0.17016866007687664,0.22850497194464806,-0.0104806766771366,0.10829906256121556,0.14537877019047052,0.0902679544638507,0.08132401177136928,0.007706883384490717
small,True,False,GIVE,-0.0742916884415286,0.11482915944103951,-0.0030786789336350387,0.02902442162039465,0.23148352341349254,0.028711206604590502,0.01959386890195758,0.004619042693517064
small,True,False,KEEP,0.041387664525051195,0.705930178640656,-0.14156754058518478,0.5455714745193866,0.041085263776814096,0.04156516696332545,0.3407390340503781,0.040934838105540904
small,True,False,LEAVE,0.12098853915746541,0.2644446773106453,-0.03797351824873948,0.10863542690104719,0.09899541699518077,0.08012377210246811,0.31632895690918383,0.012254515721528761
small,True,False,MAKE,0.09599005608886127,0.5119689487674569,-0.1559040375909469,0.35262055344021925,0.09787509505439806,0.06407690800797164,0.3907501891775691,0.04280391858729876
small,True,False,PURCHASE,0.05743964287668037,0.7693617464830904,-0.08741145074773116,0.5837192062152555,0.058852836555084,0.049385558964351366,0.19823961551374258,0.037795367731301086
small,True,False,SAVE,0.07605421905476663,0.7034642343226083,-0.22427465238396763,0.4597790678253088,0.04838417114741267,0.07229409069360397,0.5049527973016155,0.04759687271514126
small,True,False,SELL,-0.20175465878949553,0.34409057949164396,-0.018267783344790144,0.10578408777187157,0.25719526224889033,0.07405630434621684,0.1070531097806483,0.011395454100075496
small,True,False,SEND,-0.14945651882821978,0.2730469522411001,-0.002496158356168232,0.07175678947687845,0.20517810342584875,0.06419996614577028,0.003571702311475744,0.00909930166272162
small,True,False,SHOW,-0.07680604382275213,0.0905401102190936,-0.00452815638049394,0.016774488214310955,0.31585113242399765,0.023960421305644016,0.16615097888544106,0.0021501989412769226
small,True,False,SUPPLY,-0.28348801476211893,0.5619716883026522,-0.029789815046070953,0.20709698648106095,0.3372423346170067,0.08776431381936875,0.07756782167718723,0.022686690920038863
small,True,False,DESIGN,0.04984513804223891,0.8590192678150261,-0.1325120717335577,0.762338528840508,0.07692625269913356,0.034379121666693595,0.5295925540013631,0.024866385671580806
small,True,False,TAKE,-0.14407355036714345,0.8204319728212818,-0.22465635792459218,0.5448556634351902,0.34185736674572365,0.03935723518465561,0.31794769981331017,0.06478172257174383
small,True,False,FEED,-0.16570507997506445,0.22243444076503543,0.0064548205387479594,0.027387028630664657,0.2210603704109516,0.066118355723076,0.09564293368481347,0.004219077129256444
small,True,False,BUY,0.1547912228420111,0.37388928757318807,-0.06198665875648065,0.15970398922738727,0.15262573787253053,0.08050740213439307,0.2684499708531839,0.02258677877957361
small,True,False,CATCH,0.11937188484719001,0.5497369766443795,-0.17723194166696296,0.38245060604522857,0.08403359211922223,0.08665062502965695,0.4862738499784548,0.04005195444303167
small,True,False,DELIVER,0.16986564045691388,0.289312999553273,-0.01740211969177427,0.12815372413981105,0.13320444963844713,0.09530739408467198,0.06147942232699155,0.014954821918262008
small,True,False,THROW,-0.12498335332269153,0.4166460828498738,-0.02944156683975749,0.20288294118652378,0.15714597445724743,0.06390781676429885,0.27739217682501494,0.010491616323907226
small,True,False,PROMISE,-0.06316499184590743,0.0776136314632117,0.002759661608598593,0.014425296712286012,0.27673504184961095,0.02178537920105392,0.04494355761394442,0.0027139926840032
small,False,True,BRING,-0.043813325618682245,0.9252974201571876,-0.21669717489556134,0.7839219375070561,0.09819532507325546,0.025246539658289862,0.4913275861968043,0.041924855536787396
small,False,True,DRAW,0.06226410674362961,0.8527983452631492,-0.30582765702598086,0.8448368494562064,0.053761263569979345,0.04956825498255535,0.48795631386058036,0.05944838142384453
