size,pronoun,PD-PD_slope,PD-PD_intercept,PD-PD_std_err,PD-PD_CI_lower,PD-PD_CI_upper,PD-PD_r_value,PD-PD_p_value,PD-PD_R2,PD-PD_RMSE,DO-PD_slope,DO-PD_intercept,DO-PD_std_err,DO-PD_CI_lower,DO-PD_CI_upper,DO-PD_r_value,DO-PD_p_value,DO-PD_R2,DO-PD_RMSE
GPT2-small,True,0.0113864229847971,0.3703798852991398,0.0211867450873133,-0.0488970641330544,0.0716699101026487,0.1193148618547721,0.5968992413996168,0.0142360362594232,0.0204472995292083,-0.0070152412491962,0.2778891990340661,0.0177924470314126,-0.0576407973217753,0.0436103148233827,-0.0878234695797892,0.6975455312833864,0.0077129618090329,0.0171714669860599
GPT2-small,False,0.0137102210491082,0.7458775838538461,0.0197311373973153,-0.0424315677065354,0.069852009804752,0.1535314914270072,0.4951421264669241,0.0235719188598004,0.0164676061862624,0.0060517422910247,0.6532239857949932,0.0233106097747659,-0.0602748613602284,0.0723783459422779,0.0579537106687673,0.797815800901811,0.0033586325802784,0.0194550336355528
GPT2-medium,True,-0.0127380520766766,0.3511975019544427,0.0229573434642114,-0.0780594930663827,0.0525833889130294,-0.1231258483491469,0.5851448256120171,0.0151599745316968,0.0225324198440246,-0.0256462860116363,0.2556724101012601,0.0165782018612603,-0.0728169020841761,0.0215243300609034,-0.3269107779210586,0.1375442449670033,0.1068706567209517,0.0162713514819009
GPT2-medium,False,-0.0232243036497364,0.747520532716691,0.0194538379010527,-0.078577081137163,0.03212847383769,-0.2579140487785274,0.2465183509048055,0.0665196565573319,0.0169197517813988,-0.0353877226619905,0.5895641119848756,0.031370122576345,-0.1246463781290312,0.0538709328050502,-0.2445832346318583,0.2726412460155925,0.0598209586629817,0.0272838033319426
GPT2-large,True,0.0109714288778755,0.3297972274977725,0.0189040789341686,-0.0428170975902697,0.0647599553460208,0.1286962827861742,0.5681448826037794,0.0165627332029788,0.018954663655732,-0.037466184822872,0.2412460273803164,0.0183105940334905,-0.0895660451359651,0.0146336754902211,-0.4160528823989342,0.0541161301160525,0.1731000009524617,0.0183595906708867
GPT2-large,False,-0.0034474260452819,0.6982507481284714,0.0204920522236451,-0.0617542759720396,0.0548594238814756,-0.0375913080013677,0.8680901276217337,0.0014131064372543,0.0176046538626932,-0.0202055439726234,0.4865076796547598,0.0273935916488022,-0.0981496180843711,0.0577385301391241,-0.1627340678203538,0.469323153245249,0.0264823768293593,0.0235337434128081
Llama-7b,True,-0.0204406008793451,0.3918054689987844,0.016273880073189,-0.0667453180837354,0.0258641163250451,-0.2703962588249307,0.2235774364454952,0.0731141367865196,0.0149822116367258,-0.0856688878456478,0.2285558946108863,0.0142007550823293,-0.1260748601902145,-0.0452629155010811,-0.8033361473867908,6.74248390331545e-06,0.6453489656982516,0.0130736319235438
Llama-7b,False,-0.0261777876832382,0.807082199479933,0.0265475415476329,-0.1017145618456682,0.0493589864791916,-0.2153204146810537,0.3358776685442237,0.0463628809784202,0.0189504197187384,-0.1109825260462646,0.6266965148059759,0.0591973133797405,-0.2794189925177426,0.0574539404252133,-0.3866175995354073,0.0755018777494083,0.1494731682705204,0.0422567917543308
Llama-7b-chat,True,-0.0119730522413766,0.4126159033595428,0.019241240145158,-0.0667209168917467,0.0427748124089934,-0.1378138759135894,0.5408010073344125,0.0189926643943262,0.0177717402969488,-0.0952999091389658,0.2634879131669158,0.0178795712553794,-0.146173363225681,-0.0444264550522505,-0.7660691620157751,3.233509310841611e-05,0.5868619609915515,0.0165140653395646
Llama-7b-chat,False,-0.0131725241725166,0.7879799519108976,0.0359171772924752,-0.1153690949858906,0.0890240466408573,-0.0817327936225307,0.7176591011612579,0.0066802495533433,0.0239229654651162,-0.1018227374325733,0.60466088373646,0.0657138279474825,-0.2888009015729869,0.0851554267078401,-0.3273822770017282,0.1369443656108811,0.1071791552948364,0.0437692980093279
Llama-13b,True,-0.0588673782405413,0.434132046679869,0.0190549871255201,-0.1130852897780698,-0.0046494667030128,-0.5683699684055966,0.0057829102089445,0.3230444209853789,0.0176632905830946,-0.0986205637588365,0.256004404569388,0.0123868239937901,-0.1338652859463839,-0.0633758415712891,-0.8718719438022084,1.2551952513444806e-07,0.7601606863894417,0.0114821421900064
Llama-13b,False,-0.0664623510391336,0.8585612046574296,0.0340871601517863,-0.163451901412533,0.0305271993342657,-0.399651581660494,0.0653627442092215,0.1597213867237341,0.0191619588682105,-0.1774510208856728,0.6847876032050413,0.0739386213597505,-0.3878315163267231,0.0329294745553773,-0.4728627878852072,0.0262501223665665,0.2235992161665705,0.0415642962029936
GPT3-davinci-002,True,-0.0781357936627013,0.4028349170691547,0.0151607945319963,-0.1212734043763575,-0.034998182949045,-0.7552897244832234,4.8310357216468045e-05,0.5704625679099433,0.0127857039364041,-0.0784530391356689,0.2232189513424672,0.0125483944075941,-0.1141574840375377,-0.0427485942338001,-0.8133398313173483,4.182330471581909e-06,0.6615216812073328,0.0105825625058188
GPT3-davinci-002,False,-0.0638500616435319,0.8514346892650086,0.0312740413907643,-0.1528353334978773,0.0251352102108134,-0.4152930248976555,0.0546017893314365,0.1724682965286456,0.020003470426201,-0.1447455321853922,0.6315409016991759,0.0550583953641879,-0.3014053708717077,0.0119143065009232,-0.5067734224260712,0.0160857726396777,0.2568193016774333,0.035216394632862
