size,pronoun,target_verb,PD-PD_slope,PD-PD_intercept,DO-PD_slope,DO-PD_intercept,PD-PD_R2,PD-PD_RMSE,DO-PD_R2,DO-PD_RMSE
7b,True,BRING,-0.08044644883168392,0.2393821580381,0.0475830948687494,0.08128577326785057,0.08549138725035743,0.054739882792501075,0.2749327982943677,0.016076548215943197
7b,True,DRAW,0.22552465151512027,0.4371592102767035,-0.04638092627517038,0.2849120220290692,0.3836232028923434,0.058501697633242734,0.06093204701203547,0.037262225045664184
7b,True,FIND,0.2792500078377019,0.2940004477193217,-0.00988186771473323,0.15644419077803806,0.4227175521188289,0.06873669363507166,0.006399052889737078,0.025936632726013757
7b,True,GET,0.18991874867381772,0.2723550943464712,-0.016983608666861633,0.13348293534442124,0.2609927584180527,0.06699660597591142,0.02574015851272593,0.02190466472143923
7b,True,GIVE,-0.09729148575705515,0.13615289977148715,0.014519148338567402,0.02244591609929377,0.2973749628387262,0.030055512531643874,0.1303040953636424,0.0075385099873073735
7b,True,KEEP,0.11163207496894048,0.6488475482289852,-0.24153965229625854,0.49606536384996736,0.1276916994383972,0.05864793801386364,0.3683479116209617,0.06357822224555579
7b,True,LEAVE,0.14948309104931287,0.46662357503852625,-0.07875574445587598,0.3466303340581192,0.266504537985753,0.05209240886045381,0.20435471358167434,0.03264266574713678
7b,True,MAKE,0.2382100507399453,0.4959589660539471,-0.055164184588215634,0.33594436997971494,0.47459664311318706,0.05280318373158902,0.08847465301905177,0.03730337107534084
7b,True,PURCHASE,0.09114588995655218,0.685206767337327,-0.2087984192566696,0.5054268889483743,0.1787631394256961,0.03799118359022578,0.37131607470923356,0.05283503661822516
7b,True,SAVE,0.07936972705120186,0.39196581942515374,-0.09968635137486793,0.21959783541617814,0.07958733313319488,0.05664178731605289,0.2825446072662682,0.03333514790274063
7b,True,SELL,-0.215284691699837,0.3059256303607459,0.018082186291781908,0.07037473531317391,0.39407226562581943,0.055714664990079044,0.035627711968843845,0.019634200776890525
7b,True,SEND,-0.1811141309669548,0.2868530344034628,0.030630201471530425,0.06594249625263478,0.2624026857884838,0.06258928556302935,0.07612249756674228,0.021994934207971203
7b,True,SHOW,-0.06435108977406011,0.09742224773497758,0.0481321259372721,0.008866207023321115,0.3746212371607951,0.01661160544278892,0.6440763967239422,0.007148667222524011
7b,True,SUPPLY,-0.2229104227694346,0.349757339756716,-0.00016674648501336292,0.08288609755328093,0.31662247988448133,0.06897086704154391,4.0392705445979615e-06,0.01747351102321188
7b,True,DESIGN,0.10687220791031901,0.8108500370743368,-0.13434129655649563,0.7275737761217095,0.20291990148258698,0.0404442528001279,0.17360713591555965,0.0559657594601299
7b,True,TAKE,-0.1811124591866952,0.6332828162463626,-0.16393237016376355,0.3553414316089325,0.4062036775968,0.04465242094447731,0.22119492991654777,0.06272510189109458
7b,True,FEED,-0.11061672438384548,0.21772518900657833,0.007101816874701496,0.05821233007032285,0.281576525129566,0.036358694748481774,0.011053441452254398,0.013823008623826613
7b,True,BUY,0.05513475597742687,0.3324904501067041,-0.04959339152817599,0.13970703005091886,0.05863371916629356,0.04654546307322105,0.17038548625418926,0.023056425682119207
