size,target_verb,PD-PD_slope,PD-PD_intercept,DO-PD_slope,DO-PD_intercept,PD-PD_R2,PD-PD_RMSE,DO-PD_R2,DO-PD_RMSE
7b,BRING,-0.04274663050562962,0.5471835000401162,0.06317746942328502,0.3384891670130703,0.03177522275690259,0.041537100496488684,0.14105676472507023,0.02744340498425713
7b,DRAW,0.17277634262295669,0.6070447084008574,-0.12138486710264616,0.5162143428211858,0.2840135229995292,0.047154472291336916,0.1975939179898586,0.04204657052061865
7b,FIND,0.20103777437186446,0.4936952420198437,-0.10273837958662599,0.37589397492397947,0.1904602792105945,0.0732282727962648,0.1602740794401285,0.04154838006926314
7b,GET,0.16029762119907548,0.49988827516695683,-0.09258490284115957,0.3499704193699436,0.15366673485334925,0.065802043844752,0.26333331039905505,0.027086589364796586
7b,GIVE,-0.0807121088951483,0.4634123769011676,0.023790946507044667,0.2682293614249672,0.2138956049962919,0.026384974904859117,0.020319866928202424,0.028169053206722583
7b,KEEP,0.059309935656023334,0.7257685208543246,-0.25931072911460806,0.6053906481640485,0.02901246587508821,0.0588935196398892,0.39557337798443526,0.05501793699548483
7b,LEAVE,0.07614540646961342,0.6300387939527307,-0.1359533748357813,0.5083883790545449,0.09079977266355932,0.042505547811044674,0.33452672417091234,0.03382629366587316
7b,MAKE,0.20695273947516007,0.6076438567869961,-0.10491845488449093,0.5026416121516066,0.33242647643336964,0.05175382796742214,0.1508802099155826,0.04392277567258109
7b,PURCHASE,0.04439554776058182,0.788678654014726,-0.189117176155563,0.6392720046411737,0.0487587274408533,0.0322674316891715,0.2987130493292839,0.04768234161600791
7b,SAVE,0.044572862372207,0.5813881312418773,-0.19060531247929113,0.42120537374816863,0.01942777386316008,0.05584405039624206,0.34467421141344323,0.04634867751629923
7b,SELL,-0.10741720864451057,0.5999123245697962,0.04972874373048783,0.3579673823705543,0.13633548901282622,0.047768987841913114,0.06461783164597634,0.03342950460032492
7b,SEND,-0.10308343077465223,0.582553789129974,0.050011091410235936,0.3359802650773591,0.11402799700340382,0.05039991880087082,0.04848221765748717,0.038861563533130965
7b,SHOW,-0.0514108364126107,0.3798556701870297,0.10860167365872571,0.17976284478641869,0.07573664539367053,0.030141051908319314,0.33393452951371416,0.02574086961132771
7b,SUPPLY,-0.16931155089526684,0.6481602110845612,-0.06422046902536865,0.36089078392112656,0.24457200523273315,0.052366211328375545,0.14918186629409835,0.026990145432824
7b,DESIGN,0.04471401775283338,0.8828785050633536,-0.22465518380564706,0.8617150134520845,0.054198025567650965,0.029601726733692837,0.4142234009030157,0.04233797802123511
7b,TAKE,-0.09647525985445815,0.7978490966904044,-0.18488274447205452,0.6255132379787484,0.21598653531308631,0.031144375136001688,0.23818663785885696,0.05602440054658222
7b,FEED,-0.06894176346593299,0.430713201408508,-0.016080759160917665,0.24039772388185696,0.0803003128025005,0.040164766549261266,0.012929685674788804,0.02418717058728758
7b,BUY,0.08618432769394295,0.4831066122441386,-0.06938130610536881,0.3071249567252541,0.07188077406285165,0.05428263505202212,0.1471797660522376,0.02927414882830806
7b,CATCH,0.11665538364301056,0.644270235747099,-0.26117642000951746,0.546992134456932,0.09195088375042304,0.06375300305892044,0.3552308214954768,0.06119274331939942
7b,DELIVER,0.32150907356857905,0.2977468088848788,-0.04474003268047529,0.21576356764310095,0.25391474821471627,0.09490001635483503,0.06893817122583878,0.02831251620489043
7b,THROW,-0.0914896167811121,0.570648546975819,-0.061742313978831634,0.36285359022899977,0.08493127351886165,0.05284548987104674,0.12216570110666414,0.029124441779604465
7b,PROMISE,-0.12029182846436288,0.376724360664509,-0.0008154002866420766,0.18571321506640748,0.2308540431500793,0.0358656125315505,0.0001118496524085133,0.012593189513651444
